pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
eurusd,2021-11-09 14:00:00,2021-11-09,Tue,1,short,day,1.16,1.1621863054070503,1.1554,0.0021863054070503374,0.0045999999999999375,2.1,1,82,0.03326999999999991,0,0,0,0,1.1614604034745117,1.1617395965254882,2,4,0.005583861019524888,bear,bear
eurusd,2022-06-15 06:00:00,2022-06-15,Wed,2,long,day,1.0473,1.0462646259170807,1.06305,0.0010353740829192049,0.015750000000000153,15.21,0,1,0.0020100000000000673,0,0,0,0,1.04707,1.05024,1,4,0.010067176036489902,bull,bull
eurusd,2022-12-08 16:00:00,2022-12-08,Thu,3,short,day,1.0551,1.0623139759347344,1.03993,0.007213975934734496,0.015169999999999906,2.1,0,278,0.004889999999999839,0,0,1,0,1.0601176247774442,1.0609623752225559,3,4,0.016895008902232837,bear,bear
eurusd,2022-12-09 06:00:00,2022-12-09,Fri,4,short,swing,1.05753,1.0621830058101032,1.04707,0.0046530058101030836,0.010460000000000136,2.25,0,222,0.007319999999999993,0,0,1,0,1.0601488081404518,1.0609311918595483,3,4,0.01564767438193514,bear,unclear
eurusd,2022-12-15 17:00:00,2022-12-15,Thu,3,short,swing,1.05988,1.0617890575618776,1.04707,0.0019090575618776473,0.012809999999999988,6.71,0,7,0.0007099999999999884,0,0,1,1,1.06024260534241,1.06083739465759,4,5,0.0118957863035942,bear,unclear
eurusd,2023-02-02 14:00:00,2023-02-02,Thu,3,long,day,1.09051,1.0892442212458027,1.11369,0.001265778754197422,0.02317999999999998,18.31,0,4,0.006099999999999994,1,0,0,0,1.089949576487096,1.0903904235129043,2,3,0.00881694051616524,bull,bull
eurusd,2023-10-25 06:00:00,2023-10-25,Wed,2,short,day,1.05922,1.0636090806056593,1.05024,0.004389080605659235,0.008979999999999988,2.05,0,394,0.00710999999999995,0,0,1,0,1.06054,1.06305,10,40,0.006988507570740358,bear,bear
eurusd,2023-10-27 15:00:00,2023-10-27,Fri,4,short,swing,1.0591,1.0635638907660285,1.04707,0.0044638907660286,0.012029999999999985,2.69,0,166,0.0044199999999998685,0,0,1,0,1.06054,1.06305,10,40,0.006423634575356071,bear,unclear
eurusd,2023-10-31 07:00:00,2023-10-31,Tue,1,short,swing,1.0621,1.0636767005161532,1.0581,0.0015767005161531067,0.0040000000000000036,2.54,0,7,0.0017199999999999438,0,0,1,0,1.0629007855913921,1.063199214408608,9,11,0.005968576344313277,bear,unclear
eurusd,2023-10-31 09:00:00,2023-10-31,Tue,1,short,swing,1.06679,1.0699274861075452,1.0581,0.003137486107545273,0.008689999999999864,2.77,1,26,0.009179999999999966,0,0,1,0,1.06774,1.06945,7,33,0.005968576344313277,bear,unclear
