pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
gold,2020-03-13 06:00:00,2020-03-13,Fri,4,long,day,1570.81995,1559.3320787559994,1688.99756,11.487871244000644,118.17760999999996,10.29,0,22,13.629999999999882,1,0,0,0,1562.1724446561902,1563.9476733438096,2,3,35.504573752386165,bull,bull
gold,2020-06-11 06:00:00,2020-06-11,Thu,3,short,day,1738.33997,1754.7668930443162,1693.95996,16.426923044316254,44.380010000000084,2.7,0,600,34.0,0,0,1,0,1734.630896333608,1752.9363478887974,5,38,22.881814443986695,bear,bear
gold,2020-06-12 06:00:00,2020-06-12,Fri,4,short,day,1727.56006,1755.1039467984074,1661.62,27.543886798407357,65.94006000000013,2.39,0,570,23.220090000000027,0,0,1,0,1733.908638289127,1753.177100570291,6,41,24.085577851455135,bear,bear
gold,2020-06-18 18:00:00,2020-06-18,Thu,3,short,swing,1733.28003,1755.0441615676668,1686.34998,21.764131567666936,46.93004999999994,2.16,0,158,15.650029999999788,0,0,1,0,1734.9304461257393,1753.2156419820371,7,59,22.856494820372458,bear,unclear
gold,2020-06-19 16:00:00,2020-06-19,Fri,4,short,swing,1730.60999,1754.9561671319782,1679.21997,24.346177131978266,51.39001999999982,2.11,0,74,2.890019999999822,1,0,1,1,1735.2726467089742,1753.1667561844324,7,59,22.367636844322785,bear,unclear
gold,2020-10-16 06:00:00,2020-10-16,Fri,4,long,day,1906.63,1904.2561194264435,1919.16003,2.373880573556562,12.530029999999897,5.28,0,34,4.069949999999835,1,1,1,0,1906.1029236729628,1907.257176327037,5,7,23.08505308148977,bull,bull
gold,2020-10-20 20:00:00,2020-10-20,Tue,1,long,swing,1906.19995,1904.4131553042923,1919.16003,1.7867946957076128,12.960080000000062,7.25,0,10,2.04004000000009,1,1,1,0,1906.1403131676886,1907.2197868323112,5,10,21.5894732924542,bull,unclear
gold,2020-10-21 06:00:00,2020-10-21,Wed,2,long,day,1909.81995,1904.4653680703866,1930.56995,5.35458192961346,20.75,3.88,1,74,21.720090000000027,1,1,1,1,1906.1527447786634,1907.2073552213365,5,11,21.0922088534603,bull,bull
gold,2020-10-21 18:00:00,2020-10-21,Wed,2,long,day,1920.54004,1917.8153470703867,1930.56995,2.7246929296134113,10.029909999999973,3.68,0,6,2.299929999999904,1,0,1,1,1919.5027237786635,1920.5573342213365,5,6,21.0922088534603,bull,bull
gold,2020-10-22 06:00:00,2020-10-22,Thu,3,long,day,1924.63,1917.7084182743351,1964.67004,6.921581725664964,40.04003999999986,5.78,0,22,1.430058999999801,1,0,1,0,1919.4772645415085,1920.5827934584916,6,7,22.110578339665604,bull,bull
gold,2020-10-22 14:00:00,2020-10-22,Thu,3,long,day,1913.78003,1904.358439274335,1964.67004,9.421590725664828,50.890010000000075,5.4,0,38,6.669920000000047,1,1,1,0,1906.1272855415084,1907.2328144584915,5,12,22.110578339665604,bull,bull
gold,2020-10-23 09:00:00,2020-10-23,Fri,4,long,swing,1906.52002,1904.2640859710905,1919.16003,2.2559340289094507,12.640010000000075,5.6,0,8,1.0799600000000282,1,1,1,0,1906.1048204693072,1907.2552795306926,5,13,23.009181227710204,bull,unclear
gold,2020-11-04 10:00:00,2020-11-04,Wed,2,short,day,1914.55005,1932.2336686443577,1873.02002,17.683618644357693,41.530030000000124,2.35,0,151,32.52002100000004,1,0,1,0,1919.16003,1930.56995,7,39,20.796483054471754,bear,bear
gold,2020-11-05 19:00:00,2020-11-05,Thu,3,short,day,1918.089966,1932.3791988624434,1873.02002,14.289232862443441,45.06994600000007,3.15,0,23,5.579956000000038,1,0,1,0,1919.16003,1930.56995,7,39,22.615610780542198,bear,bear
gold,2020-11-10 06:00:00,2020-11-10,Tue,1,long,swing,1866.76001,1860.1259754969155,1930.56995,6.634034503084422,63.8099400000001,9.62,0,163,23.660030000000006,1,0,0,0,1862.51001,1864.23999,2,10,29.80043128855438,bull,unclear
gold,2020-11-11 07:00:00,2020-11-11,Wed,2,long,swing,1872.85999,1846.29583875066,1930.56995,26.56415124933983,57.70996000000014,2.17,0,600,26.15002000000004,0,0,0,1,1849.015015,1864.23999,2,17,33.989703116747116,bull,unclear
gold,2020-12-16 20:00:00,2020-12-16,Wed,2,short,swing,1865.15002,1874.5665393182078,1764.66003,9.416519318207747,100.48999000000003,10.67,0,87,20.27001999999993,1,0,1,0,1871.2155734956648,1872.504406504335,7,8,25.776660173408814,bear,unclear
gold,2020-12-31 06:00:00,2020-12-31,Thu,3,long,swing,1889.87,1887.1722177731513,1896.19995,2.6977822268486307,6.3299500000000535,2.35,1,20,9.969970000000103,1,0,1,0,1889.0448137555122,1890.215186244488,7,8,23.407449779511563,bull,unclear
gold,2021-01-01 06:00:00,2021-01-01,Fri,4,long,swing,1893.81006,1887.1695223500647,1919.16003,6.640537649935368,25.349969999999985,3.82,1,14,25.389889999999923,1,0,1,0,1889.0441719881107,1890.2158280118895,8,9,23.433120475576683,bull,unclear
gold,2021-01-08 07:00:00,2021-01-08,Fri,4,long,day,1913.65002,1903.7897572427455,1950.63,9.860262757254532,36.97998000000007,3.75,0,44,3.949959999999919,1,0,1,0,1905.9918850577965,1907.3682149422034,8,19,27.52659768813605,bull,bull
gold,2021-01-08 19:00:00,2021-01-08,Fri,4,long,day,1889.050049,1886.7397072427457,1926.40002,2.310341757254264,37.349971000000096,16.17,0,1,3.3599810000000616,1,0,1,0,1888.9418350577967,1890.3181649422036,8,9,27.52659768813605,bull,bull
gold,2021-01-12 14:00:00,2021-01-12,Tue,1,long,day,1849.89001,1846.2983297842507,1871.85999,3.5916802157494203,21.96997999999985,6.12,0,42,13.729989999999816,0,0,1,0,1849.015015,1864.23999,8,46,33.95856519686663,bull,bull
gold,2021-01-13 06:00:00,2021-01-13,Wed,2,long,day,1854.31995,1846.2958616796839,1871.85999,8.024088320316196,17.540039999999863,2.19,0,99,8.670039999999972,0,0,1,0,1849.015015,1864.23999,8,48,33.98941650395108,bull,bull
gold,2021-01-14 06:00:00,2021-01-14,Thu,3,long,day,1853.57996,1845.5673586581404,1871.85999,8.012601341859636,18.280029999999897,2.28,0,11,2.2900399999998626,1,0,1,0,1848.1941444424144,1849.8358855575855,6,7,32.83482230342427,bull,bull
gold,2021-01-15 11:00:00,2021-01-15,Fri,4,long,day,1851.83997,1845.5899665903885,1871.85999,6.250003409611509,20.02001999999993,3.2,0,54,4.820060000000012,1,0,1,1,1848.1995272834258,1849.830502716574,7,8,32.61950866296768,bull,bull
gold,2021-01-20 20:00:00,2021-01-20,Wed,2,long,swing,1854.77002,1845.9960205336945,1926.40002,8.77399946630544,71.63000000000011,8.16,0,15,2.640010000000075,1,0,1,0,1848.2962067937367,1849.7338232062632,7,8,28.752328250528773,bull,unclear
gold,2021-01-21 06:00:00,2021-01-21,Thu,3,long,swing,1868.21997,1860.2585947079633,1926.40002,7.9613752920367915,58.18004999999994,7.31,0,71,6.920039999999972,1,1,1,0,1862.51001,1864.23999,8,28,28.142691150458262,bull,unclear
gold,2021-01-22 08:00:00,2021-01-22,Fri,4,long,swing,1870.28003,1860.1052366402348,1930.56995,10.17479335976509,60.289920000000166,5.93,0,32,0.5899699999999939,1,1,1,0,1862.51001,1864.23999,9,30,30.05966699706385,bull,unclear
gold,2021-01-22 21:00:00,2021-01-22,Fri,4,long,swing,1851.98999,1845.858749965308,1871.85999,6.131240034691928,19.86999999999989,3.24,0,10,6.570069999999987,1,0,1,0,1848.2635233250733,1849.7665066749266,8,9,30.05966699706385,bull,unclear
gold,2021-01-26 06:00:00,2021-01-26,Tue,1,long,day,1855.14001,1846.1530004879205,1926.40002,8.987009512079567,71.26000999999997,7.93,0,112,6.6300099999998565,1,0,1,0,1848.3335829733144,1849.6964470266855,8,11,27.257281067422003,bull,bull
gold,2021-01-27 06:00:00,2021-01-27,Wed,2,long,day,1851.69995,1846.2466215828645,1871.85999,5.453328417135481,20.16003999999998,3.7,0,20,1.3500990000000002,1,0,1,0,1848.3558737102057,1849.6741562897942,8,11,26.36565159176574,bull,bull
gold,2021-02-02 10:00:00,2021-02-02,Tue,1,long,day,1857.60999,1846.202950433028,1926.40002,11.40703956697189,68.79003000000012,6.03,0,33,6.510009999999966,1,0,1,0,1848.3454758173875,1849.6845541826124,10,14,26.78156730449313,bull,bull
