pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
nas100,2021-02-25 20:00:00,2021-02-25,Thu,3,long,day,12830.2,12715.154564571025,13122.8,115.0454354289759,292.59999999999854,2.54,0,12,75.0,1,0,0,0,12737.055848707387,12750.744151292613,1,3,273.76605170451796,bull,bull
nas100,2021-02-26 07:00:00,2021-02-26,Fri,4,long,day,12795.9,12710.628589294887,13122.8,85.27141070511243,326.89999999999964,3.83,0,1,0.0,1,0,0,0,12735.978235546401,12751.821764453598,1,3,316.87057814391574,bull,bull
nas100,2021-03-03 17:00:00,2021-03-03,Wed,2,long,swing,12817.45,12719.880541657492,13122.8,97.56945834250837,305.34999999999854,3.13,0,9,87.19999999999891,1,0,0,0,12743.9,12762.15,2,8,300.24322928135064,bull,unclear
nas100,2021-04-15 06:00:00,2021-04-15,Thu,3,short,swing,13865.7,13915.964297233835,12762.15,50.26429723383444,1103.550000000001,21.95,0,23,23.75,1,0,0,0,13874.222786372897,13890.277213627103,2,2,321.08854508415567,bear,unclear
nas100,2021-06-08 09:00:00,2021-06-08,Tue,1,short,day,13846.45,13950.97148181804,13463.55,104.52148181803932,382.90000000000146,3.66,0,201,119.25,1,0,0,0,13882.25,13938.2,2,16,159.6435227254945,bear,bear
nas100,2021-06-09 08:00:00,2021-06-09,Wed,2,short,swing,13834.35,13951.120884242302,13463.55,116.77088424230169,370.8000000000011,3.18,0,114,107.14999999999964,1,0,0,0,13882.25,13938.2,2,16,161.51105302876186,bear,unclear
nas100,2021-06-10 13:00:00,2021-06-10,Thu,3,short,swing,13943.3,14006.23169967666,13784.05,62.93169967666108,159.25,2.53,0,122,131.75,1,0,0,0,13882.25,13994.0,2,21,152.89624595826024,bear,unclear
nas100,2021-12-16 16:00:00,2021-12-16,Thu,3,long,swing,15993.48,15892.823711889905,16449.93,100.65628811009447,456.4500000000007,4.53,0,13,83.25,1,0,1,0,15916.82850283093,15931.83149716907,3,4,300.05988676281163,bull,unclear
nas100,2021-12-23 15:00:00,2021-12-23,Thu,3,short,swing,16307.73,16475.290795076762,15924.33,167.5607950767626,383.39999999999964,2.29,1,40,2094.0,1,0,0,0,16351.48,16449.93,1,8,317.009938459542,bear,unclear
nas100,2022-02-09 20:00:00,2022-02-09,Wed,2,short,swing,15056.43,15186.343620134629,13857.38,129.91362013462822,1199.050000000001,9.23,1,192,1947.7900000000009,1,0,1,0,15130.983899967945,15152.276100032053,3,4,425.84400128219386,bear,unclear
nas100,2022-03-15 13:00:00,2022-03-15,Tue,1,short,swing,13187.74,13375.05810175875,12762.15,187.31810175875034,425.59000000000015,2.27,0,10,94.0,1,0,0,1,13318.34330910506,13340.15669089494,2,4,436.2676357976235,bear,unclear
nas100,2022-03-16 10:00:00,2022-03-16,Wed,2,short,day,13703.14,13940.502314857584,12307.15,237.36231485758435,1395.9899999999998,5.88,0,39,234.34999999999854,1,0,1,0,13868.380401224385,13896.119598775615,4,9,554.783951024607,bear,bear
nas100,2022-03-17 12:00:00,2022-03-17,Thu,3,short,day,13860.94,13941.25433954324,12307.15,80.31433954323984,1553.7900000000009,19.35,0,7,36.5,1,0,1,0,13868.2013477278,13896.2986522722,5,10,561.9460908879927,bear,bear
nas100,2022-03-18 06:00:00,2022-03-18,Fri,4,short,day,14028.94,14112.252928968235,13857.38,83.3129289682347,171.5600000000013,2.06,0,31,46.100000000000364,1,0,1,0,13882.25,14069.95,3,32,528.786612102927,bear,bear
nas100,2022-03-29 06:00:00,2022-03-29,Tue,1,short,swing,15034.74,15170.947965151712,14524.53,136.20796515171241,510.2099999999991,3.75,0,25,41.5,1,0,1,0,15081.03,15141.63,3,14,366.4745643964155,bear,unclear
nas100,2022-03-30 17:00:00,2022-03-30,Wed,2,short,swing,15131.49,15170.369569798151,14828.35,38.87956979815135,303.1399999999994,7.8,0,1,0.0,1,0,1,0,15081.03,15141.63,4,16,359.2446224768934,bear,unclear
nas100,2022-08-23 06:00:00,2022-08-23,Tue,1,long,swing,12833.94,12721.51654272849,13329.25,112.42345727151042,495.3099999999995,4.41,0,324,372.6999999999989,1,0,1,0,12743.9,12762.15,4,12,279.79321589387297,bull,unclear
nas100,2022-08-24 15:00:00,2022-08-24,Wed,2,long,day,12977.04,12920.534817353657,13329.25,56.50518264634411,352.2099999999991,6.23,0,7,20.5,1,0,1,1,12942.0244803223,12955.4555196777,7,8,268.62078710802325,bull,bull
nas100,2022-08-25 12:00:00,2022-08-25,Thu,3,long,day,12993.74,12921.70060837317,13329.25,72.03939162682946,335.5100000000002,4.66,0,102,212.89999999999964,1,0,1,0,12942.30204961266,12955.17795038734,7,8,257.5180154936202,bull,bull
nas100,2022-08-26 15:00:00,2022-08-26,Fri,4,long,swing,12799.81,12723.506750925775,13122.8,76.30324907422437,322.9899999999998,4.23,0,11,32.13000000000102,1,0,1,0,12743.9,12762.15,4,10,254.9156134278042,bull,unclear
nas100,2022-08-26 20:00:00,2022-08-26,Fri,4,long,swing,12550.19,12461.53386059008,13122.8,88.6561394099208,572.6099999999988,6.46,0,4,47.75,1,0,0,0,12481.927109664304,12494.672890335694,2,4,254.9156134278042,bull,unclear
nas100,2022-11-17 10:00:00,2022-11-17,Thu,3,short,day,11642.34,11684.366543579723,11326.04,42.026543579722784,316.2999999999993,7.53,0,1,0.0,1,0,1,0,11631.09558486197,11651.58441513803,4,5,409.7766055211656,bear,bear
nas100,2022-11-18 15:00:00,2022-11-18,Fri,4,short,day,11649.34,11682.826171102426,11326.04,33.48617110242594,323.2999999999993,9.65,0,1,0.0,1,0,1,0,11631.462340213708,11651.217659786293,4,5,395.1063914516769,bear,bear
nas100,2022-11-22 06:00:00,2022-11-22,Tue,1,short,swing,11558.34,11677.132568072488,11295.54,118.79256807248748,262.7999999999993,2.21,0,50,52.0,1,0,1,1,11632.817959982742,11649.862040017259,4,5,340.8816006903706,bear,unclear
nas100,2022-12-01 08:00:00,2022-12-01,Thu,3,long,swing,12015.94,11914.068621078059,12593.24,101.87137892194187,577.2999999999993,5.67,0,114,110.5,1,1,1,1,11936.294433590014,11950.185566409986,4,4,277.8226563994283,bull,unclear
nas100,2022-12-02 06:00:00,2022-12-02,Fri,4,long,swing,12010.59,11915.214138267653,12593.24,95.3758617323474,582.6499999999996,6.11,0,30,43.600000000000364,1,1,1,0,11936.567175778013,11949.912824221987,4,4,266.91296887950455,bull,unclear
nas100,2023-01-04 16:00:00,2023-01-04,Wed,2,long,day,10968.49,10924.090830521036,11641.34,44.39916947896381,672.8500000000004,15.15,0,1,0.0,1,0,1,0,10955.175912028817,10974.604087971182,3,5,388.5635188472722,bull,bull
nas100,2023-01-06 18:00:00,2023-01-06,Fri,4,long,swing,10997.79,10928.428150480244,11641.34,69.36184951975702,643.5499999999993,9.28,1,518,656.3999999999996,1,0,1,0,10956.2086072572,10973.571392742799,3,5,347.255709711951,bull,unclear
nas100,2023-04-13 13:00:00,2023-04-13,Thu,3,long,day,12967.44,12912.904761484186,13637.89,54.535238515814854,670.4499999999989,12.29,0,1,0.0,1,0,1,0,12940.207800353377,12957.272199646623,4,6,341.2879858648894,bull,bull
nas100,2023-04-14 10:00:00,2023-04-14,Fri,4,long,day,13039.29,12913.520593286294,13637.89,125.76940671370721,598.5999999999985,4.76,0,291,118.84999999999854,1,0,1,1,12940.354426972926,12957.125573027073,4,7,335.42292108290405,bull,bull
nas100,2023-04-19 06:00:00,2023-04-19,Wed,2,long,day,13034.14,12919.599665623928,13637.89,114.54033437607177,603.75,5.27,0,215,101.75,1,0,1,0,12941.801825148554,12955.678174851446,4,6,277.52699405782556,bull,bull
nas100,2023-04-20 07:00:00,2023-04-20,Thu,3,long,day,12981.09,12921.238043540738,13637.89,59.85195645926251,656.7999999999993,10.97,0,108,128.10000000000036,1,0,1,0,12942.191915128747,12955.288084871252,4,6,261.92339485011547,bull,bull
nas100,2023-04-21 06:00:00,2023-04-21,Fri,4,long,day,12977.69,12922.47947106864,13149.74,55.210528931360386,172.04999999999927,3.12,0,20,29.0,1,0,1,0,12942.487493111581,12954.992506888419,4,6,250.10027553676673,bull,bull
nas100,2023-04-25 14:00:00,2023-04-25,Tue,1,long,day,12872.04,12786.943838944535,13149.74,85.09616105546593,277.6999999999989,3.26,0,13,23.25,1,0,0,0,12802.940914034414,12812.939085965587,2,2,199.96343862348945,bull,bull
nas100,2023-04-26 10:00:00,2023-04-26,Wed,2,long,swing,12854.49,12786.150927085264,13149.74,68.33907291473588,295.25,4.32,1,126,299.25,1,0,0,0,12802.752125496492,12813.127874503509,2,2,207.51498014035758,bull,unclear
nas100,2023-04-27 12:00:00,2023-04-27,Thu,3,long,swing,12945.24,12927.765936807227,13149.74,17.47406319277252,204.5,11.7,0,2,27.850000000000364,1,0,1,1,12943.746175430291,12953.733824569708,5,7,199.75298278830982,bull,unclear
nas100,2023-06-02 11:00:00,2023-06-02,Fri,4,long,swing,14525.09,14493.365206134788,15081.03,31.724793865212632,555.9400000000005,17.52,0,6,11.5,1,0,0,1,14517.109810984473,14531.950189015528,2,2,296.80756062107724,bull,unclear
nas100,2023-06-07 06:00:00,2023-06-07,Wed,2,long,day,14552.49,14498.892697052352,15081.03,53.59730294764813,528.5400000000009,9.86,0,34,104.5,1,0,1,0,14518.425880250561,14530.63411974944,3,3,244.1647899776092,bull,bull
nas100,2023-06-09 12:00:00,2023-06-09,Fri,4,long,day,14540.75,14497.031130230434,15081.03,43.71886976956557,540.2800000000007,12.36,0,16,130.60000000000036,1,0,1,0,14517.982650054866,14531.077349945135,4,4,261.8939978054042,bull,bull
nas100,2023-07-20 06:00:00,2023-07-20,Thu,3,long,day,15738.4,15578.506042030838,16351.48,159.89395796916142,613.0799999999999,3.83,0,42,43.0,1,0,0,0,15603.03,15709.55,1,4,306.5494746145239,bull,bull
