pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
usdjpy,2022-12-15 06:00:00,2022-12-15,Thu,3,short,swing,135.626,135.79158097548023,133.932,0.16558097548022488,1.6940000000000168,10.23,0,5,0.07900000000000773,0,0,1,0,135.5333378629809,135.6326621370191,3,4,1.9864854807641412,bear,unclear
usdjpy,2022-12-15 15:00:00,2022-12-15,Thu,3,short,swing,137.605,138.6219188384611,133.932,1.0169188384611232,3.673000000000002,3.61,1,124,8.879999999999995,1,0,0,0,137.847,138.463,1,4,1.9864854807641412,bear,unclear
usdjpy,2023-07-27 06:00:00,2023-07-27,Thu,3,short,day,140.034,140.37817858119266,138.756,0.344178581192665,1.2779999999999916,3.71,0,26,0.22700000000000387,0,0,1,0,140.21081462352555,140.27518537647444,4,6,1.2874150589778093,bear,bear
usdjpy,2025-01-16 08:00:00,2025-01-16,Thu,3,long,day,155.894,155.18653854388234,157.858,0.7074614561176702,1.9639999999999986,2.78,0,34,0.4660000000000082,0,0,1,0,155.31946155806722,155.40253844193276,3,4,1.661537677311141,bull,bull
usdjpy,2025-01-17 06:00:00,2025-01-17,Fri,4,long,day,155.637,155.18909407136468,157.858,0.44790592863532197,2.2210000000000036,4.96,0,167,0.9420000000000073,0,0,1,0,155.3200700169916,155.4019299830084,4,5,1.6371993203363202,bull,bull
usdjpy,2025-01-21 06:00:00,2025-01-21,Tue,1,long,day,155.515,155.21067164290022,157.858,0.304328357099763,2.3430000000000177,7.7,0,281,1.2320000000000277,0,0,1,0,155.32520753402386,155.39679246597612,5,7,1.4316986390456008,bull,bull
usdjpy,2025-01-23 19:00:00,2025-01-23,Thu,3,long,swing,155.8,155.21137776733391,157.858,0.588622232666097,2.0579999999999927,3.5,0,37,0.6099999999999852,0,0,1,0,155.32537565888902,155.39662434111096,5,8,1.4249736444386962,bull,unclear
usdjpy,2025-01-24 06:00:00,2025-01-24,Fri,4,long,swing,155.357,155.21718739835606,157.858,0.13981260164393916,2.5010000000000048,17.89,0,1,0.0,0,0,1,0,155.32675890437048,155.3952410956295,5,8,1.3696438251802059,bull,unclear
usdjpy,2025-02-26 06:00:00,2025-02-26,Wed,2,long,swing,149.57,148.86795668272245,153.34,0.7020433172775427,3.7700000000000102,5.37,0,51,0.3130000000000166,0,0,1,0,149.02722778160057,149.12677221839942,4,7,1.990888735976563,bull,unclear
usdjpy,2025-02-27 06:00:00,2025-02-27,Thu,3,long,swing,149.252,148.87814712502612,150.774,0.37385287497389186,1.5219999999999914,4.07,1,124,1.5960000000000036,0,0,1,0,149.02965407738716,149.12434592261283,4,8,1.8938369045130221,bull,unclear
usdjpy,2025-03-07 16:00:00,2025-03-07,Fri,4,short,day,147.131,147.36147407259327,146.478,0.23047407259326746,0.6529999999999916,2.83,0,1,0.0,0,0,1,1,147.12936331604922,147.2186366839508,7,13,1.7854673580309177,bear,bear
usdjpy,2025-03-11 07:00:00,2025-03-11,Tue,1,short,day,146.935,147.3332175133296,143.912,0.3982175133295982,3.022999999999996,7.59,0,9,0.17900000000000205,0,0,1,0,147.13609106825487,147.21190893174514,8,14,1.5163572698056071,bear,bear
usdjpy,2025-07-22 12:00:00,2025-07-22,Tue,1,long,swing,146.796,146.34470362582954,148.878,0.4512963741704539,2.0819999999999936,4.61,0,11,0.45699999999999363,0,1,1,0,146.44626276805465,146.50973723194537,4,5,1.2694892778139486,bull,unclear
usdjpy,2025-07-23 06:00:00,2025-07-23,Wed,2,long,swing,146.856,146.33850847571895,148.878,0.5174915242810414,2.0219999999999914,3.91,0,17,0.27199999999999136,0,1,1,0,146.44478773231404,146.51121226768598,4,5,1.3284907074387542,bull,unclear
usdjpy,2025-09-04 14:00:00,2025-09-04,Thu,3,long,day,148.735,148.51369955065923,151.02,0.22130044934078796,2.2849999999999966,10.33,0,1,0.0,1,0,1,1,148.59469036920459,148.64530963079542,4,5,1.0123852318169377,bull,bull
usdjpy,2025-09-05 15:00:00,2025-09-05,Fri,4,long,day,146.839,146.02222662392737,148.878,0.8167733760726321,2.0389999999999873,2.5,1,58,5.650000000000006,1,0,1,0,146.103,146.646,4,21,1.0096672009080152,bull,bull
usdjpy,2026-02-20 14:00:00,2026-02-20,Fri,4,long,day,155.401,154.8335976787528,156.579,0.567402321247215,1.1779999999999973,2.08,0,4,0.12299999999999045,0,0,1,0,154.902,155.361,3,30,0.8550290155897957,bull,bull
usdjpy,2026-02-24 06:00:00,2026-02-24,Tue,1,long,swing,154.973,154.8142037867318,156.703,0.1587962132682037,1.7299999999999898,10.89,1,114,1.7519999999999811,0,0,1,1,154.902,155.16,3,14,1.097452665852087,bull,unclear
