time,open,high,low,close,volume
2023-09-10T21:00:00.000Z,1.08315,1.08473,1.08139,1.08335,10888
2023-09-11T01:00:00.000Z,1.08335,1.08562,1.08333,1.08541,21175
2023-09-11T05:00:00.000Z,1.08543,1.08681,1.08493,1.08648,21111
2023-09-11T09:00:00.000Z,1.08648,1.0871,1.08604,1.08663,16600
2023-09-11T13:00:00.000Z,1.08664,1.08705,1.08618,1.08679,23005
2023-09-11T17:00:00.000Z,1.0868,1.08701,1.086,1.08629,10150
2023-09-11T21:00:00.000Z,1.08602,1.08713,1.08515,1.08667,6954
2023-09-12T01:00:00.000Z,1.08667,1.08766,1.08573,1.08745,14908
2023-09-12T05:00:00.000Z,1.08747,1.08855,1.08742,1.08849,19846
2023-09-12T09:00:00.000Z,1.08853,1.08866,1.08694,1.08792,15872
2023-09-12T13:00:00.000Z,1.08789,1.08835,1.08761,1.08809,20466
2023-09-12T17:00:00.000Z,1.08809,1.08878,1.08745,1.08839,12619
2023-09-12T21:00:00.000Z,1.08717,1.08857,1.08652,1.08689,8027
2023-09-13T01:00:00.000Z,1.08688,1.08737,1.08639,1.08677,14793
2023-09-13T05:00:00.000Z,1.08678,1.08705,1.08534,1.08542,20554
2023-09-13T09:00:00.000Z,1.0854,1.08618,1.08411,1.08484,24360
2023-09-13T13:00:00.000Z,1.08483,1.08623,1.08472,1.08579,29806
2023-09-13T17:00:00.000Z,1.08579,1.08629,1.08499,1.08506,13260
2023-09-13T21:00:00.000Z,1.08497,1.08618,1.08386,1.08612,8465
2023-09-14T01:00:00.000Z,1.08608,1.08609,1.08333,1.08592,15681
2023-09-14T05:00:00.000Z,1.08592,1.08662,1.08459,1.08614,17201
2023-09-14T09:00:00.000Z,1.08614,1.0884,1.086,1.08824,29140
2023-09-14T13:00:00.000Z,1.08825,1.08943,1.0879,1.08873,35728
2023-09-14T17:00:00.000Z,1.08874,1.08992,1.08818,1.08944,14477
2023-09-14T21:00:00.000Z,1.08794,1.08973,1.08757,1.08959,9360
