time,open,high,low,close,volume
2023-09-10T21:00:00.000Z,86.56,86.879,86.389,86.714,13809
2023-09-11T01:00:00.000Z,86.713,86.813,86.546,86.695,22041
2023-09-11T05:00:00.000Z,86.694,86.726,86.487,86.674,24610
2023-09-11T09:00:00.000Z,86.674,86.919,86.65,86.755,20082
2023-09-11T13:00:00.000Z,86.754,86.907,86.613,86.722,24755
2023-09-11T17:00:00.000Z,86.726,86.762,86.665,86.76,11029
2023-09-11T21:00:00.000Z,86.612,86.786,86.576,86.671,7548
2023-09-12T01:00:00.000Z,86.667,86.858,86.582,86.717,16636
2023-09-12T05:00:00.000Z,86.717,86.884,86.654,86.68,20215
2023-09-12T09:00:00.000Z,86.676,86.817,86.617,86.751,16860
2023-09-12T13:00:00.000Z,86.753,86.889,86.671,86.823,20518
2023-09-12T17:00:00.000Z,86.821,86.902,86.752,86.811,12421
2023-09-12T21:00:00.000Z,86.742,87.045,86.742,87.032,6676
2023-09-13T01:00:00.000Z,87.033,87.132,86.788,86.92,14996
2023-09-13T05:00:00.000Z,86.919,87.015,86.746,86.991,20268
2023-09-13T09:00:00.000Z,86.991,87.218,86.814,87.121,25715
2023-09-13T13:00:00.000Z,87.121,87.313,87.08,87.228,28821
2023-09-13T17:00:00.000Z,87.227,87.228,87.007,87.217,10320
2023-09-13T21:00:00.000Z,87.172,87.343,87.098,87.297,6571
2023-09-14T01:00:00.000Z,87.301,87.439,87.091,87.234,13507
2023-09-14T05:00:00.000Z,87.233,87.374,87.158,87.241,15262
2023-09-14T09:00:00.000Z,87.243,87.398,87.07,87.237,23905
2023-09-14T13:00:00.000Z,87.234,87.321,86.987,87.195,30921
2023-09-14T17:00:00.000Z,87.194,87.201,87.077,87.148,11476
2023-09-14T21:00:00.000Z,87.136,87.243,87.019,87.173,6238
2023-09-15T01:00:00.000Z,87.175,87.499,87.071,87.485,13553
2023-09-15T05:00:00.000Z,87.485,87.627,87.366,87.388,20865
2023-09-15T09:00:00.000Z,87.385,87.518,87.281,87.298,19113
2023-09-15T13:00:00.000Z,87.298,87.374,87.117,87.295,28062
2023-09-15T17:00:00.000Z,87.294,87.295,87.122,87.198,10045
2023-09-17T21:00:00.000Z,87.153,87.372,87.114,87.36,5001
2023-09-18T01:00:00.000Z,87.361,87.446,87.204,87.334,10583
2023-09-18T05:00:00.000Z,87.334,87.386,87.133,87.217,15469
2023-09-18T09:00:00.000Z,87.216,87.261,87.127,87.159,13095
2023-09-18T13:00:00.000Z,87.16,87.401,87.073,87.327,21172
2023-09-18T17:00:00.000Z,87.327,87.387,87.267,87.33,9440
2023-09-18T21:00:00.000Z,87.167,87.476,87.164,87.359,6291
2023-09-19T01:00:00.000Z,87.358,87.522,87.334,87.487,9946
2023-09-19T05:00:00.000Z,87.49,87.732,87.392,87.651,16215
2023-09-19T09:00:00.000Z,87.649,87.829,87.573,87.808,16293
2023-09-19T13:00:00.000Z,87.809,87.813,87.568,87.618,21253
2023-09-19T17:00:00.000Z,87.616,87.727,87.61,87.721,9777
2023-09-19T21:00:00.000Z,87.653,87.976,87.647,87.764,7457
2023-09-20T01:00:00.000Z,87.767,87.87,87.677,87.762,8754
2023-09-20T05:00:00.000Z,87.76,88.028,87.749,88.01,18260
2023-09-20T09:00:00.000Z,88.011,88.251,87.938,88.149,15208
2023-09-20T13:00:00.000Z,88.149,88.313,88.112,88.282,19995
2023-09-20T17:00:00.000Z,88.284,88.289,87.724,87.907,32981
