date,ts,bias,sw_q,a_hi,a_lo,a_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,win,bars_held,exit_ts,mfe,mfe_r,dow,year
2020-03-25 00:00:00+00:00,2020-03-25 10:45:00+00:00,-1,clean_hi,6746.7,6524.16,222.53999999999996,6638.0,6793.0,155.0,6597.04,6804.83022271558,6181.45955456884,207.79022271558006,78.86815143719883,False,,2020-03-25 20:00:00+00:00,147.03999999999996,0.7076367601822439,2,2020
2020-12-22 00:00:00+00:00,2020-12-22 11:15:00+00:00,1,clean_lo,23076.77,22428.86,647.9099999999999,22734.71,22916.14,181.4300000000003,22929.63,22711.1247115265,23366.640576947004,218.50528847350142,157.2352564900074,True,,2020-12-22 13:45:00+00:00,437.01057694700285,2.0,1,2020
2020-12-27 00:00:00+00:00,2020-12-27 11:45:00+00:00,-1,clean_hi,27750.0,26427.16,1322.8400000000001,27736.95,28216.32,479.369999999999,27646.48,28268.40733280944,26402.625334381122,621.9273328094387,347.2488853962561,False,,2020-12-27 20:00:00+00:00,1046.4799999999996,1.6826403098778837,6,2020
2021-01-07 00:00:00+00:00,2021-01-07 12:00:00+00:00,1,clean_lo,37700.8,36422.71,1278.0900000000038,37552.78,37712.34,159.55999999999767,37864.0,37502.3257437394,38587.3485125212,361.6742562606014,336.36170840398677,True,,2021-01-07 14:15:00+00:00,723.3485125212028,2.0,3,2021
2021-01-09 00:00:00+00:00,2021-01-09 11:30:00+00:00,1,clean_lo,40976.13,38888.0,2088.1299999999974,40534.36,40900.84,366.4799999999959,40970.0,40473.25007146981,41963.49985706038,496.7499285301892,407.39952353457596,False,,2021-01-09 11:45:00+00:00,0.0,0.0,5,2021
2021-01-12 00:00:00+00:00,2021-01-12 10:15:00+00:00,-1,clean_hi,36348.0,33677.03,2670.970000000001,35395.54,35849.57,454.02999999999884,34866.01,35923.97179872858,32750.086402542853,1057.9617987285746,496.0119915238267,True,,2021-01-12 14:30:00+00:00,2115.9235974571493,2.0,1,2021
2021-01-19 00:00:00+00:00,2021-01-19 12:45:00+00:00,-1,clean_hi,37280.0,36002.01,1277.989999999998,36888.19,37082.87,194.6800000000003,36782.17,37128.20102676446,36090.10794647108,346.03102676445997,302.20684509638085,False,,2021-01-19 13:45:00+00:00,0.00999999999476131,2.8899142623901803e-05,1,2021
2021-02-09 00:00:00+00:00,2021-02-09 11:00:00+00:00,-1,clean_hi,48140.9,45500.0,2640.9000000000015,45997.65,46210.85,213.1999999999971,45770.97,46288.29929845481,44736.31140309038,517.3292984548098,516.328656365427,False,,2021-02-09 11:15:00+00:00,0.0,0.0,1,2021
2021-02-10 00:00:00+00:00,2021-02-10 12:45:00+00:00,-1,clean_hi,46900.0,45589.98,1310.0199999999968,45836.48,46010.86,174.37999999999738,45652.34,46080.566576009864,44795.88684798026,428.22657600986713,464.7105067324003,True,,2021-02-10 15:00:00+00:00,856.4531520197343,2.0,2,2021
2021-02-20 00:00:00+00:00,2021-02-20 10:45:00+00:00,1,clean_lo,56609.14,55322.0,1287.1399999999994,55574.55,55734.72,160.16999999999825,55895.31,55531.53303844228,56622.86392311544,363.7769615577199,286.7797437181465,True,,2021-02-20 12:00:00+00:00,727.5539231154398,2.0,5,2021
