ts,open,high,low,close
2023-01-02 00:15:00+00:00,13870.8,13883.25,13864.8,13864.8
2023-01-02 00:30:00+00:00,13863.8,13867.3,13862.3,13867.3
2023-01-02 00:45:00+00:00,13866.75,13891.3,13866.75,13889.75
2023-01-02 01:00:00+00:00,13889.8,13909.3,13889.8,13890.3
2023-01-02 01:15:00+00:00,13892.75,13897.25,13869.75,13870.75
2023-01-02 01:30:00+00:00,13870.75,13871.25,13843.25,13846.25
2023-01-02 01:45:00+00:00,13846.25,13866.25,13846.25,13862.75
2023-01-02 02:00:00+00:00,13863.25,13881.75,13862.75,13868.8
2023-01-02 02:15:00+00:00,13868.3,13868.75,13865.75,13865.75
2023-01-02 02:30:00+00:00,13864.8,13866.0,13864.8,13866.0
2023-01-02 02:45:00+00:00,13866.25,13869.25,13855.75,13857.8
2023-01-02 03:00:00+00:00,13857.8,13860.3,13855.8,13858.8
2023-01-02 03:15:00+00:00,13858.8,13859.8,13836.25,13849.0
2023-01-02 03:30:00+00:00,13850.25,13854.75,13849.25,13854.75
2023-01-02 03:45:00+00:00,13856.25,13858.0,13856.25,13857.25
2023-01-02 04:00:00+00:00,13857.25,13857.25,13849.75,13853.25
2023-01-02 04:15:00+00:00,13851.75,13866.0,13851.75,13859.3
2023-01-02 04:30:00+00:00,13860.3,13861.8,13860.3,13861.8
2023-01-02 04:45:00+00:00,13866.25,13866.25,13865.75,13865.8
2023-01-02 05:00:00+00:00,13865.75,13870.0,13865.75,13868.25
2023-01-02 05:15:00+00:00,13868.25,13868.25,13868.25,13868.25
2023-01-02 05:30:00+00:00,13868.25,13869.3,13865.75,13869.3
2023-01-02 05:45:00+00:00,13868.8,13869.8,13860.8,13862.8
2023-01-02 06:00:00+00:00,13862.8,13874.25,13862.8,13873.25
2023-01-02 06:15:00+00:00,13873.25,13891.25,13871.25,13880.75
2023-01-02 06:30:00+00:00,13880.75,13881.75,13872.75,13880.25
2023-01-02 06:45:00+00:00,13880.75,13892.25,13880.75,13891.75
2023-01-02 07:00:00+00:00,13890.75,13953.55,13885.25,13945.75
2023-01-02 07:15:00+00:00,13946.25,14013.75,13946.25,13982.15
2023-01-02 07:30:00+00:00,13983.15,13990.55,13955.55,13988.55
2023-01-02 07:45:00+00:00,13988.55,13988.55,13968.15,13974.55
2023-01-02 08:00:00+00:00,13974.55,14002.55,13972.75,13981.55
2023-01-02 08:15:00+00:00,13981.55,14002.55,13970.35,14001.55
2023-01-02 08:30:00+00:00,14001.55,14041.55,13997.55,14027.55
2023-01-02 08:45:00+00:00,14027.55,14041.55,14015.55,14041.55
2023-01-02 09:00:00+00:00,14041.55,14058.55,14033.75,14036.25
2023-01-02 09:15:00+00:00,14037.55,14046.75,14030.55,14042.75
2023-01-02 09:30:00+00:00,14043.75,14059.75,14007.25,14008.25
2023-01-02 09:45:00+00:00,14009.25,14017.25,13967.75,14005.55
2023-01-02 10:00:00+00:00,14005.55,14013.55,13995.15,14013.55
2023-01-02 10:15:00+00:00,14014.55,14031.55,14010.55,14027.55
2023-01-02 10:30:00+00:00,14027.55,14043.55,14026.55,14039.55
2023-01-02 10:45:00+00:00,14040.55,14043.55,14013.55,14018.65
2023-01-02 11:00:00+00:00,14018.65,14032.65,14013.65,14026.05
2023-01-02 11:15:00+00:00,14026.05,14036.05,14019.05,14029.05
2023-01-02 11:30:00+00:00,14029.05,14058.05,14027.65,14053.05
2023-01-02 11:45:00+00:00,14053.05,14072.05,14047.05,14058.05
2023-01-02 12:00:00+00:00,14058.05,14067.05,14050.05,14060.05
2023-01-02 12:15:00+00:00,14060.05,14065.05,14055.05,14061.05
2023-01-02 12:30:00+00:00,14061.05,14067.05,14044.05,14045.05
2023-01-02 12:45:00+00:00,14044.65,14064.05,14027.05,14048.05
2023-01-02 13:00:00+00:00,14048.05,14052.05,14037.05,14044.75
2023-01-02 13:15:00+00:00,14044.75,14054.85,14039.75,14048.95
2023-01-02 13:30:00+00:00,14048.95,14049.95,14028.95,14036.95
2023-01-02 13:45:00+00:00,14036.95,14046.05,14032.05,14043.05
2023-01-02 14:00:00+00:00,14043.05,14043.65,14030.55,14031.75
2023-01-02 14:15:00+00:00,14031.75,14039.75,14031.55,14036.85
2023-01-02 14:30:00+00:00,14036.85,14044.85,14030.65,14031.85
2023-01-02 14:45:00+00:00,14031.85,14058.85,14029.85,14045.85
2023-01-02 15:00:00+00:00,14045.85,14046.85,14023.05,14037.05
2023-01-02 15:15:00+00:00,14036.05,14053.55,14034.05,14052.45
2023-01-02 15:30:00+00:00,14052.45,14053.45,14034.25,14038.45
2023-01-02 15:45:00+00:00,14038.45,14051.45,14020.45,14043.45
2023-01-02 16:00:00+00:00,14042.45,14055.55,14031.25,14051.55
2023-01-02 16:15:00+00:00,14051.55,14093.55,14046.55,14090.55
2023-01-02 16:30:00+00:00,14090.55,14090.55,14058.55,14059.55
2023-01-02 16:45:00+00:00,14059.55,14064.55,14058.55,14063.55
2023-01-02 17:00:00+00:00,14064.55,14068.55,14061.35,14063.55
2023-01-02 17:15:00+00:00,14063.55,14064.55,14055.55,14055.55
2023-01-02 17:30:00+00:00,14054.55,14054.55,14043.35,14050.55
2023-01-02 17:45:00+00:00,14050.55,14055.55,14043.35,14046.55
2023-01-02 18:00:00+00:00,14046.55,14055.55,14044.55,14044.55
2023-01-02 18:15:00+00:00,14044.55,14049.55,14041.55,14046.55
2023-01-02 18:30:00+00:00,14047.35,14059.15,14045.35,14058.15
2023-01-02 18:45:00+00:00,14058.15,14058.15,14045.35,14057.15
2023-01-02 19:00:00+00:00,14057.15,14062.15,14055.15,14060.15
2023-01-02 19:15:00+00:00,14060.15,14065.15,14057.15,14064.95
2023-01-02 19:30:00+00:00,14063.95,14067.15,14058.95,14061.15
2023-01-02 19:45:00+00:00,14062.15,14063.15,14059.15,14061.95
2023-01-02 20:00:00+00:00,14062.15,14062.15,14054.95,14056.15
2023-01-02 20:15:00+00:00,14054.95,14062.15,14054.95,14059.15
2023-01-02 20:30:00+00:00,14059.15,14061.15,14055.75,14056.15
2023-01-02 20:45:00+00:00,14057.15,14066.45,14048.25,14048.25
2023-01-03 00:15:00+00:00,13960.7,13960.7,13926.05,13951.15
2023-01-03 00:30:00+00:00,13951.65,13975.15,13950.15,13970.15
2023-01-03 00:45:00+00:00,13970.15,13972.15,13933.15,13937.15
2023-01-03 01:00:00+00:00,13937.15,13940.65,13897.15,13916.15
2023-01-03 01:15:00+00:00,13916.65,13926.15,13901.15,13910.15
2023-01-03 01:30:00+00:00,13910.15,13942.15,13908.65,13940.65
2023-01-03 01:45:00+00:00,13940.15,13967.15,13931.15,13962.15
2023-01-03 02:00:00+00:00,13962.15,13974.15,13951.15,13964.15
2023-01-03 02:15:00+00:00,13964.15,13990.15,13958.15,13988.15
2023-01-03 02:30:00+00:00,13988.15,14052.15,13977.65,14048.65
2023-01-03 02:45:00+00:00,14050.15,14051.15,14022.15,14025.15
2023-01-03 03:00:00+00:00,14025.15,14034.15,14017.65,14026.15
