ts,open,high,low,close
2023-01-10 00:00:00+00:00,14715.65,14721.55,14683.15,14701.65
2023-01-10 01:00:00+00:00,14701.65,14725.65,14693.65,14721.15
2023-01-10 02:00:00+00:00,14722.65,14722.65,14672.15,14698.65
2023-01-10 03:00:00+00:00,14698.65,14710.65,14686.65,14696.15
2023-01-10 04:00:00+00:00,14696.15,14698.65,14692.15,14696.65
2023-01-10 05:00:00+00:00,14695.65,14721.15,14691.65,14716.65
2023-01-10 06:00:00+00:00,14716.65,14724.65,14700.15,14712.65
2023-01-10 07:00:00+00:00,14712.65,14747.45,14710.45,14738.45
2023-01-10 08:00:00+00:00,14738.45,14763.45,14713.45,14714.45
2023-01-10 09:00:00+00:00,14714.45,14726.45,14692.45,14723.45
2023-01-10 10:00:00+00:00,14723.45,14747.45,14706.45,14711.45
2023-01-10 11:00:00+00:00,14711.45,14726.45,14706.45,14719.45
2023-01-10 12:00:00+00:00,14718.45,14732.45,14713.45,14727.45
2023-01-10 13:00:00+00:00,14727.45,14756.45,14714.45,14755.45
2023-01-10 14:00:00+00:00,14755.45,14775.45,14738.45,14756.45
2023-01-10 15:00:00+00:00,14757.45,14790.45,14750.45,14786.45
2023-01-10 16:00:00+00:00,14786.45,14795.65,14765.45,14789.65
2023-01-10 17:00:00+00:00,14788.65,14804.65,14779.65,14798.65
2023-01-10 18:00:00+00:00,14798.65,14824.65,14795.65,14819.65
2023-01-10 19:00:00+00:00,14819.65,14828.65,14812.65,14816.65
2023-01-10 20:00:00+00:00,14816.65,14843.75,14807.65,14840.75
2023-01-10 21:00:00+00:00,14840.75,14847.57,14831.95,14838.85
2023-01-11 00:00:00+00:00,14856.55,14879.1,14846.55,14860.05
2023-01-11 01:00:00+00:00,14861.55,14861.55,14838.05,14851.55
2023-01-11 02:00:00+00:00,14851.55,14856.05,14845.05,14845.55
2023-01-11 03:00:00+00:00,14845.55,14850.55,14839.05,14845.55
2023-01-11 04:00:00+00:00,14845.55,14854.05,14844.55,14852.55
2023-01-11 05:00:00+00:00,14852.55,14866.05,14847.05,14857.55
2023-01-11 06:00:00+00:00,14857.55,14858.55,14831.05,14832.55
2023-01-11 07:00:00+00:00,14832.05,14832.05,14807.35,14809.35
2023-01-11 08:00:00+00:00,14810.35,14833.35,14794.35,14830.35
2023-01-11 09:00:00+00:00,14830.35,14901.35,14829.35,14892.35
2023-01-11 10:00:00+00:00,14892.35,14925.35,14887.35,14911.35
2023-01-11 11:00:00+00:00,14911.35,14949.35,14906.35,14928.35
2023-01-11 12:00:00+00:00,14928.35,14936.35,14897.35,14928.55
2023-01-11 13:00:00+00:00,14929.55,14947.35,14921.35,14937.35
2023-01-11 14:00:00+00:00,14937.35,14947.35,14908.35,14936.35
2023-01-11 15:00:00+00:00,14936.35,14965.35,14910.35,14916.35
2023-01-11 16:00:00+00:00,14916.35,14963.35,14914.35,14955.35
2023-01-11 17:00:00+00:00,14955.35,14969.35,14951.35,14967.35
2023-01-11 18:00:00+00:00,14967.35,14985.35,14954.35,14965.35
2023-01-11 19:00:00+00:00,14965.35,14980.35,14957.35,14978.55
2023-01-11 20:00:00+00:00,14979.55,15002.95,14972.55,15002.95
2023-01-11 21:00:00+00:00,15001.95,15008.55,14994.05,15007.55
2023-01-12 00:00:00+00:00,14992.75,15001.15,14984.25,14992.25
2023-01-12 01:00:00+00:00,14993.25,15000.25,14985.25,14996.25
