date,ts,bias,sw_q,orb_hi,orb_lo,orb_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,session_bar,win,exit_ts,mfe,mfe_r,dow,year
2026-06-01,2026-06-01 13:15:00+00:00,-1,clean_hi,25153.44921875,25082.33984375,71.109375,25111.23046875,25259.189453125,147.958984375,25017.91015625,25269.230910602982,24515.268647544035,251.32075435298248,66.94304985321608,21,False,32,116.140625,0.46212110614979035,0,2026
2026-06-02,2026-06-02 08:30:00+00:00,-1,clean_hi,25322.380859375,25192.580078125,129.80078125,25282.029296875,25320.990234375,38.9609375,25268.80078125,25331.642054414104,25143.118234921792,62.84127316410377,71.0121335940326,2,True,2026-06-02 12:45:00+00:00,125.68254632820754,2.0,1,2026
2026-06-05,2026-06-05 13:45:00+00:00,-1,clean_hi,24946.669921875,24818.009765625,128.66015625,24838.810546875,24906.650390625,67.83984375,24811.05078125,24913.620526460905,24605.91129082819,102.56974521090524,46.46757223937289,23,False,32,44.990234375,0.4386306535371663,4,2026
2026-06-11,2026-06-11 12:30:00+00:00,-1,clean_hi,24244.189453125,24155.900390625,88.2890625,24198.0390625,24235.990234375,37.951171875,24173.869140625,24244.26035204865,24033.086717777704,70.3912114236482,55.13411782432897,18,False,2026-06-11 13:45:00+00:00,16.12890625,0.229132386327726,3,2026
2026-06-12,2026-06-12 08:45:00+00:00,-1,clean_hi,24735.26953125,24492.880859375,242.388671875,24632.58984375,24685.3203125,52.73046875,24622.2890625,24697.650509171028,24471.566169157944,75.3614466710278,82.20131114019307,3,False,2026-06-12 09:30:00+00:00,0.37890625,0.005027852658588465,4,2026
2026-06-17,2026-06-17 09:15:00+00:00,1,both,24875.880859375,24797.75,78.130859375,24834.7109375,24855.66015625,20.94921875,24872.259765625,24828.83093827654,24959.11742032192,43.42882734845989,39.199994823059335,5,False,2026-06-17 13:30:00+00:00,84.220703125,1.9392810781934848,2,2026
2026-06-19,2026-06-19 10:30:00+00:00,-1,clean_hi,25160.640625,25055.279296875,105.361328125,25067.91015625,25095.369140625,27.458984375,25046.439453125,25101.65441435921,24936.009530656578,55.21496123421093,41.901824894729714,10,False,32,94.900390625,1.71874413209223,4,2026
2026-07-01,2026-07-01 13:00:00+00:00,-1,clean_hi,25053.76953125,24955.609375,98.16015625,24944.73046875,24972.9609375,28.23046875,24896.779296875,24978.765950341185,24732.80598994263,81.98665346618509,38.70008560788926,20,False,2026-07-01 13:45:00+00:00,0.849609375,0.010362776611566617,2,2026
2026-07-03,2026-07-03 12:00:00+00:00,1,clean_lo,25809.7890625,25681.009765625,128.779296875,25679.76953125,25708.94921875,29.1796875,25715.26953125,25674.1424460392,25797.5237016716,41.12708521079912,37.513901405337435,16,True,2026-07-03 14:45:00+00:00,82.25417042159825,2.0,4,2026
2026-07-17,2026-07-17 08:30:00+00:00,-1,both,24839.73046875,24718.25,121.48046875,24746.509765625,24778.75,32.240234375,24728.75,24786.837576665224,24612.57484666955,58.08757666522433,53.91717776815331,2,False,2026-07-17 10:30:00+00:00,77.41015625,1.332645648072691,4,2026
2026-07-23,2026-07-23 12:45:00+00:00,-1,clean_hi,25030.849609375,24909.029296875,121.8203125,24876.75,24932.650390625,55.900390625,24844.220703125,24940.54320809434,24651.57569318632,96.3225049693392,52.6187831289257,19,False,32,103.021484375,1.0695473960918394,3,2026
2026-08-11,2026-08-11 11:15:00+00:00,1,clean_lo,26387.6796875,26258.400390625,129.279296875,26318.419921875,26338.5703125,20.150390625,26348.669921875,26314.311342916237,26417.387079792526,34.358578958763246,27.390526391756858,13,True,2026-08-11 13:00:00+00:00,68.71715791752649,2.0,1,2026
2026-08-12,2026-08-12 13:00:00+00:00,-1,clean_hi,26464.080078125,26401.9609375,62.119140625,26470.919921875,26494.7109375,23.791015625,26469.1796875,26499.939226220933,26407.660610058134,30.75953872093305,34.85525813955288,20,True,2026-08-12 14:00:00+00:00,61.5190774418661,2.0,2,2026
