date,ts,bias,sw_q,orb_hi,orb_lo,orb_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,session_bar,win,exit_ts,mfe,mfe_r,dow,year
2023-10-26,2023-10-26 13:00:00+00:00,1,bk,14747.3603515625,14666.23046875,81.1298828125,14687.4501953125,14740.3701171875,52.919921875,14745.08984375,14677.031402521234,14881.206726207532,68.05844122876624,69.45861860844408,5,False,8,32.6005859375,0.47900870705984844,3,2023
2023-11-14,2023-11-14 14:00:00+00:00,1,bk,15394.759765625,15337.599609375,57.16015625,15426.080078125,15539.01953125,112.939453125,15576.490234375,15418.83039922378,15891.80990467744,157.65983515122025,48.33119267479958,5,False,8,55.9501953125,0.354879194557289,1,2023
2023-12-06,2023-12-06 14:00:00+00:00,1,bk,16572.880859375,16542.189453125,30.69140625,16596.849609375,16638.080078125,41.23046875,16657.619140625,16591.891648135763,16789.074125603474,65.72749248923719,33.05307492825536,5,False,8,69.451171875,1.0566533005404481,2,2023
2023-12-14,2023-12-14 15:00:00+00:00,-1,bk,17003.279296875,16935.740234375,67.5390625,16770.9609375,16847.1796875,76.21875,16755.33984375,16855.873963915317,16554.271603419365,100.53412016531729,57.96184276877685,6,False,8,3.958984375,0.039379509846904574,3,2023
2024-01-02,2024-01-02 12:00:00+00:00,-1,bk,16961.439453125,16828.169921875,133.26953125,16731.560546875,16815.529296875,83.96875,16668.349609375,16823.73645231988,16357.575923485238,155.3868429448812,54.714369632535885,3,False,8,19.548828125,0.1258074863644302,1,2024
2024-01-03,2024-01-03 15:00:00+00:00,-1,bk,16784.0703125,16736.5390625,47.53125,16548.5,16592.55078125,44.05078125,16511.490234375,16601.312884492,16331.844934141001,89.82265011699928,58.41402161333321,6,False,8,8.201171875,0.09130405153174051,2,2024
2024-02-09,2024-02-09 15:00:00+00:00,-1,bk,16985.640625,16946.25,39.390625,16918.0,16962.33984375,44.33984375,16914.279296875,16968.022738459345,16806.79241370631,53.74344158434542,37.885964728966805,6,False,8,3.80859375,0.07086620502378435,4,2024
2024-02-13,2024-02-13 14:00:00+00:00,-1,bk,16991.609375,16927.599609375,64.009765625,16887.669921875,16928.400390625,40.73046875,16849.2890625,16934.41317527905,16679.040836941902,85.12411277904903,40.08523102700465,5,False,8,17.759765625,0.20863378242893219,1,2024
2024-04-02,2024-04-02 13:00:00+00:00,-1,bk,18556.080078125,18486.330078125,69.75,18402.259765625,18463.5,61.240234375,18294.529296875,18470.249777238194,17943.088336148612,175.72048036319393,44.998514921299765,5,False,8,18.1796875,0.10345798886063073,1,2024
2024-04-09,2024-04-09 14:00:00+00:00,-1,bk,18318.509765625,18211.240234375,107.26953125,18162.859375,18203.19921875,40.33984375,18083.5703125,18211.531838633007,17827.647260233985,127.96152613300728,55.55079922003742,6,False,8,10.58984375,0.08275802946420457,1,2024
2024-04-12,2024-04-12 13:00:00+00:00,-1,bk,18151.109375,17965.94921875,185.16015625,18034.919921875,18086.029296875,51.109375,17995.3203125,18097.929096150154,17790.102745199692,102.60878365015378,79.33199516769716,5,False,8,134.58984375,1.3116795557082728,4,2024
