date,ts,bias,sw_q,orb_hi,orb_lo,orb_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,session_bar,win,exit_ts,mfe,mfe_r,dow,year
2023-10-26,2023-10-26 13:00:00+00:00,1,clean_lo,14747.3603515625,14666.23046875,81.1298828125,14687.4501953125,14740.3701171875,52.919921875,14745.08984375,14677.031402521234,14881.206726207532,68.05844122876624,69.45861860844408,5,False,8,32.6005859375,0.47900870705984844,3,2023
2024-01-05,2024-01-05 15:00:00+00:00,1,clean_lo,16546.2890625,16497.939453125,48.349609375,16534.7890625,16582.349609375,47.560546875,16628.939453125,16525.90877365914,16835.00081205672,103.03067946586089,59.20192560573656,6,False,8,1.78125,0.01728853977508918,4,2024
2024-02-09,2024-02-09 15:00:00+00:00,-1,clean_hi,16985.640625,16946.25,39.390625,16918.0,16962.33984375,44.33984375,16914.279296875,16968.022738459345,16806.79241370631,53.74344158434542,37.885964728966805,6,False,8,3.80859375,0.07086620502378435,4,2024
2024-04-02,2024-04-02 13:00:00+00:00,-1,both,18556.080078125,18486.330078125,69.75,18402.259765625,18463.5,61.240234375,18294.529296875,18470.249777238194,17943.088336148612,175.72048036319393,44.998514921299765,5,False,8,18.1796875,0.10345798886063073,1,2024
2024-04-10,2024-04-10 13:00:00+00:00,-1,clean_hi,18214.16015625,18078.890625,135.26953125,18076.279296875,18217.66015625,141.380859375,18053.7890625,18227.645246400993,17706.076694698015,173.85618390099262,66.5672676732868,5,False,8,5.509765625,0.03169151364864706,2,2024
2024-04-12,2024-04-12 13:00:00+00:00,-1,clean_hi,18151.109375,17965.94921875,185.16015625,18034.919921875,18086.029296875,51.109375,17995.3203125,18097.929096150154,17790.102745199692,102.60878365015378,79.33199516769716,5,False,8,134.58984375,1.3116795557082728,4,2024
2024-08-15,2024-08-15 13:00:00+00:00,1,clean_lo,18009.439453125,17946.650390625,62.7890625,17970.33984375,18117.169921875,146.830078125,18185.2890625,17960.76281820702,18634.341551085963,224.52624429298157,63.846836953203564,5,False,8,12.80078125,0.05701240534401144,3,2024
2024-09-12,2024-09-12 13:00:00+00:00,-1,clean_hi,18588.970703125,18523.69921875,65.271484375,18487.80078125,18529.19921875,41.3984375,18426.8203125,18541.330550822247,18197.799835855505,114.51023832224746,80.87554714831208,5,False,8,14.669921875,0.1281101331194232,3,2024
2024-10-31,2024-10-31 15:00:00+00:00,-1,clean_hi,19177.919921875,19094.08984375,83.830078125,19053.029296875,19116.490234375,63.4609375,19032.720703125,19125.714294760153,18846.733519854693,92.99359163515328,61.49373590102446,6,False,8,5.640625,0.060656061356681064,3,2024
2024-11-22,2024-11-22 13:00:00+00:00,1,clean_lo,19272.990234375,19230.55078125,42.439453125,19144.33984375,19220.5390625,76.19921875,19230.30078125,19131.94116688131,19427.020009987376,98.3596143686882,82.65784579126421,4,False,8,107.798828125,1.0959663558757982,4,2024
2025-01-24,2025-01-24 15:00:00+00:00,-1,clean_hi,21491.509765625,21461.150390625,30.359375,21386.099609375,21431.0703125,44.970703125,21369.66015625,21437.956383557263,21233.067701635475,68.2962273072626,45.90714038175474,6,False,8,4.26953125,0.06251489164681838,4,2025
2025-02-27,2025-02-27 14:00:00+00:00,-1,clean_hi,22617.859375,22493.689453125,124.169921875,22574.9609375,22634.76953125,59.80859375,22431.400390625,22650.032937317617,21994.135297239765,218.63254669261732,101.75604045078155,5,False,8,52.509765625,0.24017359912486042,3,2025
2025-03-11,2025-03-11 15:00:00+00:00,-1,clean_hi,22788.509765625,22630.599609375,157.91015625,22466.80078125,22510.279296875,43.478515625,22352.83984375,22534.888979924206,21988.741571401588,182.04913617420607,164.06455366137982,6,False,8,88.529296875,0.48629341910353663,1,2025
2025-03-19,2025-03-19 13:00:00+00:00,-1,clean_hi,23321.619140625,23233.779296875,87.83984375,23219.509765625,23259.810546875,40.30078125,23175.490234375,23275.27635245586,22975.917998213277,99.78611808086134,103.10537053907386,4,False,2025-03-19 15:00:00+00:00,0.9296875,0.009316801954823324,2,2025
2025-04-03,2025-04-03 11:00:00+00:00,-1,clean_hi,22082.05078125,21809.400390625,272.650390625,21897.19921875,21952.2890625,55.08984375,21868.859375,21974.0812432942,21658.4156384116,105.22186829420025,145.28120529467674,3,False,8,197.83984375,1.8802160326296429,3,2025
2025-05-16,2025-05-16 13:00:00+00:00,-1,clean_hi,23885.369140625,23764.44921875,120.919921875,23726.580078125,23810.19921875,83.619140625,23721.810546875,23821.92780874159,23521.576023141817,100.11726186659143,78.19059994395357,5,False,8,37.130859375,0.3708737003263007,4,2025
2025-10-14,2025-10-14 14:00:00+00:00,1,both,24199.9609375,24078.650390625,121.310546875,24123.369140625,24170.5390625,47.169921875,24218.720703125,24109.479827962226,24437.202453450547,109.24087516277359,92.5954177518174,6,False,8,23.0390625,0.21090148230386116,1,2025
2025-11-05,2025-11-05 15:00:00+00:00,1,clean_lo,23869.359375,23745.51953125,123.83984375,23917.849609375,23980.51953125,62.669921875,24055.05078125,23904.51573566331,24356.12087242338,150.5350455866901,88.89249141126048,6,False,8,1.349609375,0.008965416456613667,2,2025
2025-11-06,2025-11-06 15:00:00+00:00,-1,clean_hi,24017.2109375,23932.0390625,85.171875,23886.6796875,23973.26953125,86.58984375,23735.080078125,23987.017237999615,23231.20575837577,251.93715987461474,91.65137833075465,6,False,8,13.08984375,0.05195678063734074,3,2025
2025-11-25,2025-11-25 13:00:00+00:00,1,clean_lo,23293.220703125,23166.400390625,126.8203125,23266.580078125,23343.83984375,77.259765625,23433.390625,23250.240623835973,23799.690627328055,183.15000116402734,108.9296952601775,4,False,8,53.83984375,0.2939658389725128,1,2025
2026-01-13,2026-01-13 13:00:00+00:00,1,clean_lo,25428.4296875,25392.900390625,35.529296875,25384.359375,25430.619140625,46.259765625,25456.189453125,25376.57714035482,25615.41407866536,79.61231277017941,51.88156430118735,4,False,8,51.599609375,0.6481360430258446,1,2026
2026-03-02,2026-03-02 13:00:00+00:00,-1,clean_hi,24821.990234375,24651.330078125,170.66015625,24702.19921875,24775.390625,73.19140625,24605.099609375,24793.022308403924,24229.25421131715,187.9226990289244,117.54455602615089,4,False,8,27.6796875,0.1472929435508993,0,2026
2026-03-04,2026-03-04 11:00:00+00:00,1,both,23945.33984375,23817.150390625,128.189453125,24026.650390625,24136.509765625,109.859375,24141.55078125,24002.69532043021,24419.261702889577,138.85546081978828,159.7004679652441,2,False,8,100.939453125,0.7269390237089987,2,2026
2026-03-05,2026-03-05 13:00:00+00:00,-1,clean_hi,24174.880859375,24035.0,139.880859375,24172.630859375,24227.560546875,54.9296875,24014.490234375,24248.330782719437,23546.809137686127,233.84054834443668,138.46823896292304,4,False,8,259.83984375,1.1111838626347537,3,2026
2026-03-18,2026-03-18 12:00:00+00:00,-1,clean_hi,23894.75,23817.76953125,76.98046875,23850.919921875,23897.2890625,46.369140625,23605.580078125,23915.236751389624,22986.26673159575,309.65667326462426,119.65125926415433,3,False,8,156.01953125,0.5038468236616038,2,2026
2026-04-02,2026-04-02 14:00:00+00:00,1,both,22993.1796875,22917.55078125,75.62890625,22786.19921875,22855.58984375,69.390625,23140.849609375,22761.784256958,23898.980314209002,379.0653524170011,162.76641194666718,6,False,8,21.48046875,0.05666692725419502,3,2026
2026-04-27,2026-04-27 13:00:00+00:00,-1,both,24236.919921875,24164.26953125,72.650390625,24251.44921875,24321.69921875,70.25,24187.0,24337.0941944174,23886.811611165198,150.094194417401,102.63317111599824,5,False,8,137.560546875,0.9164947878826954,0,2026
2026-06-01,2026-06-01 14:00:00+00:00,-1,clean_hi,25153.44921875,25082.33984375,71.109375,25040.919921875,25213.439453125,172.51953125,24920.970703125,25230.18123823453,24302.54963290594,309.2105351095306,111.61190073019579,6,False,8,13.03125,0.04214361582274027,0,2026
2026-06-22,2026-06-22 14:00:00+00:00,1,clean_lo,25082.779296875,24985.16015625,97.619140625,25033.26953125,25083.900390625,50.630859375,25112.720703125,25020.818170314385,25296.52576874623,91.9025328106145,83.00907290408989,6,False,8,36.26953125,0.3946521400529993,0,2026
2026-07-23,2026-07-23 13:00:00+00:00,-1,clean_hi,25030.849609375,24909.029296875,121.8203125,24876.830078125,24934.3203125,57.490234375,24820.619140625,24950.480105534836,24560.897210805328,129.86096490983618,107.7319535655815,5,False,8,124.029296875,0.9550929870351328,3,2026
2026-08-11,2026-08-11 12:00:00+00:00,1,clean_lo,26387.6796875,26258.400390625,129.279296875,26318.419921875,26362.169921875,43.75,26402.279296875,26309.04153094884,26588.754828727317,93.23776592615832,62.52260617438771,4,False,8,102.259765625,1.096763362026358,1,2026
