date,signal_time,h4b,h1b,hdb,h4_slope,orb_range_atr,asian_range_atr,breaks_asian_lo,breaks_pdl,pre_frb_mom,ret4bar,dow,month,adr_at_frb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2020-01-29,2020-01-29 08:00:00,-1,-1,1,-1,1.1052783039512835,8.69683192227324,0,1,-0.3836307243680408,-0.7866001217195511,2,1,8.852692300928693,1568.47998,1570.78003,1567.52979,2.3000499999998283,0.9501900000000205,2,1,>1.0
2020-02-04,2020-02-04 12:30:00,-1,-1,1,-1,1.2267500857062312,6.056836674033121,0,0,0.7358900366779038,-1.8439210339189227,1,2,7.226536708009605,1575.28967,1578.48999,1573.85009,3.200320000000147,1.439579999999978,16,1,>1.0
2020-02-05,2020-02-05 08:30:00,-1,-1,1,-1,1.3034966839809494,12.96280366357563,0,1,0.802990768581968,-1.4379918074086118,2,2,10.591817105983942,1552.30054,1554.995,1550.76134,2.6944599999999355,1.539199999999937,9,0,>1.0
2020-02-06,2020-02-06 07:30:00,-1,1,-1,-1,0.9143063284410081,9.59553583446063,0,0,-0.48436201428528375,-0.5538743244233624,3,2,6.019150007462853,1556.73779,1558.34998,1556.0001200000002,1.612190000000055,0.7376699999997527,5,1,0.7-1.0
2020-02-12,2020-02-12 08:00:00,-1,1,1,-1,1.1214692950206788,11.059612276406872,0,0,0.6012823884564772,-0.9917947849025786,2,2,11.8512049668245,1568.18079,1570.05005,1567.19995,1.8692600000001676,0.9808399999999438,5,1,>1.0
2020-02-27,2020-02-27 07:30:00,-1,1,1,-1,1.6365355019411336,7.396619789681909,0,0,0.6448017261769575,-1.4438084983829402,3,2,9.440668837103484,1643.36121,1649.39502,1638.00488,6.033809999999903,5.356330000000071,1,1,>1.0
2020-02-28,2020-02-28 15:00:00,-1,-1,1,1,1.5069050730627698,6.759035810889089,1,0,-1.2385954725500712,-1.2987356928661418,4,2,6.433963978656885,1637.90002,1643.92981,1633.6602699999999,6.029790000000048,4.2397500000001855,7,1,>1.0
2020-02-29,2020-02-29 07:45:00,-1,-1,1,-1,1.1355004052805207,8.479431975612302,0,1,1.1630356518131086,-0.5892031173735567,5,2,9.774107348589327,1578.71997,1588.7406720947533,1570.229982,10.020702094753233,8.48998800000004,4,0,>1.0
2020-03-03,2020-03-03 07:30:00,-1,-1,-1,-1,1.2480737830364308,4.05634602015374,0,0,0.5439044921332661,-1.9804280692652299,1,3,4.5488687415842195,1591.42004,1597.44995,1589.6301300000002,6.029909999999973,1.789909999999736,1,1,>1.0
2020-03-12,2020-03-12 07:45:00,-1,-1,1,-1,0.7202545689232103,7.821525425701797,0,1,-0.6121062747316779,-0.2692155704998981,3,3,4.64358621343119,1635.15002,1639.03003,1632.2700100000002,3.8800099999998565,2.8800099999998565,1,0,0.7-1.0
2020-03-13,2020-03-13 12:15:00,-1,-1,1,-1,0.7907202095856323,8.035352486364111,0,1,-1.2135560499647966,-2.58585299246005,4,3,8.861151817803844,1562.58997,1572.0451152998526,1561.0299099999997,9.455145299852575,1.5600600000002487,1,1,0.7-1.0
2020-03-17,2020-03-17 12:45:00,-1,-1,-1,-1,1.4098456439559273,7.127002953469976,0,0,0.23024904127746024,-2.5873385219346123,1,3,11.466649829517156,1492.71997,1510.581170084292,1482.80994,17.861200084291795,9.910030000000006,19,1,>1.0
2020-03-18,2020-03-18 16:30:00,-1,1,-1,-1,1.2552201109613506,20.65581061493457,0,0,0.27767039412450156,-1.1221576631144945,2,3,6.532075162217378,1524.30005,1531.66003,1522.4798700000001,7.3599799999999505,1.8201799999999366,1,1,>1.0
2020-03-19,2020-03-19 09:30:00,-1,-1,-1,-1,1.6437157034330765,6.325444995654366,0,0,-0.1863825446017794,-0.340504766354515,3,3,6.493911023831326,1483.55005,1496.5936258402535,1472.42004,13.043575840253425,11.130010000000084,5,0,>1.0
2020-03-20,2020-03-20 09:00:00,-1,-1,-1,-1,0.7598225148118476,4.390953434748731,1,1,-0.44186166660721415,-1.2408359856470539,4,3,6.928394141042251,1463.69995,1473.2433050691654,1463.30994,9.5433550691655,0.3900099999998474,1,1,0.7-1.0
