Condition,N,Wins,WR,Est_PF
Frankfurt + ADR<40% + H4↑,22,16,0.7272727272727273,2.0
London + ADR<40% + H4↑,22,16,0.7272727272727273,2.0
London + ADR<40%,25,18,0.72,1.929
Frankfurt + ADR<40%,25,18,0.72,1.929
Bull SFP (swept Asian Lo) + Frankfurt,184,120,0.6521739130434783,1.406
Bull SFP + London,184,120,0.6521739130434783,1.406
Bull SFP + H4↑,646,419,0.6486068111455109,1.384
Bear engulf + London,638,399,0.6253918495297806,1.252
London + H1↑ + H4↑,5996,3686,0.614743162108072,1.197
NY ORB trade + H4↑,7684,4719,0.6141332639250391,1.194
PM Fix window (12:00 UTC),2800,1707,0.6096428571428572,1.171
Bear engulf + London + H4↓,299,181,0.6053511705685619,1.15
Frankfurt trade + H4↑,8269,4994,0.603942435602854,1.144
London + H4↑,7523,4541,0.6036155788913997,1.142
Inside Asian range + London,10696,6428,0.6009723261032162,1.13
Bull engulf + H4↑,3922,2352,0.5996940336562978,1.124
Silver Bullet + H4↑,3032,1814,0.5982849604221636,1.117
Bull pin + London + H4↑,1461,868,0.5941136208076659,1.098
Tuesday + London,2745,1631,0.5941712204007286,1.098
Bull engulf + London + H4↑,375,221,0.5893333333333334,1.076
Frankfurt trade window,15274,9002,0.5893675527039414,1.076
Near $50 + London,971,572,0.5890834191555098,1.075
Friday,25455,14905,0.5855431153015125,1.06
London,13896,8133,0.5852763385146805,1.058
NY ORB + ADR>90% (skip candidate),14066,8208,0.5835347646807906,1.051
NY ORB trade window,14074,8209,0.5832741224953816,1.05
NFP day (first Friday),5765,3344,0.5800520381613183,1.036
Bear pin + London,2749,1590,0.5783921425973081,1.029
Silver Bullet window,5630,3255,0.5781527531083481,1.028
January,9865,5675,0.5752660922453117,1.016
Tuesday,25441,14592,0.573562359970127,1.009
Inside bar breakout + London,2151,1233,0.5732217573221757,1.007
Bull pin + London,2739,1568,0.5724717050018255,1.004
Frankfurt trade + H4↓,7005,4008,0.5721627408993576,1.003
Thursday,25884,14792,0.5714727244629887,1.0
All bars (baseline),128328,73330,0.5714263449909607,1.0
Skip NFP (no first Friday),122563,69986,0.5710206179679023,0.998
Bear pin bar (any session),25144,14357,0.5709910913140311,0.998
Near $50 round number,8512,4850,0.5697838345864662,0.993
Wednesday,25756,14576,0.5659263860847957,0.978
Bear pin + London + H4↓,1232,696,0.564935064935065,0.974
Near $100 round number,4111,2318,0.5638530771101922,0.97
Bull engulf + London,704,397,0.5639204545454546,0.97
London + H4↓,6373,3592,0.5636278048015063,0.969
Bull pin bar (any session),25790,14496,0.5620783249321443,0.963
September,9468,5321,0.5619983100971694,0.962
Large bar + London,1062,595,0.5602636534839924,0.956
Monday,17067,9557,0.5599695318450811,0.954
Near $100 + London,471,262,0.5562632696390658,0.94
Wednesday + London,2821,1565,0.554767812832329,0.935
NY ORB trade + H4↓,6384,3487,0.5462092731829574,0.903
Pre-NY (13:00-14:00 UTC),5619,3060,0.5445808862786973,0.897
Above Asian Hi + London,601,327,0.5440931780366056,0.895
Bear engulf + H4↓,3197,1735,0.5426962777604004,0.89
Below Asian Lo + London,349,188,0.5386819484240688,0.876
Bear SFP (swept Asian Hi) + Frankfurt,329,175,0.5319148936170213,0.852
Bear SFP + London,329,175,0.5319148936170213,0.852
Monday + London,2382,1246,0.5230898404701931,0.823
Bear SFP + H4↓,725,370,0.5103448275862069,0.782
NY ORB + ADR<40%,3,0,0.0,0.0
