Condition,N,Wins,WR,Est_PF
NY ORB + ADR<40%,3,2,0.6666666666666666,1.5
Bear SFP + H4↓,725,474,0.6537931034482759,1.416
Monday + London,2382,1503,0.6309823677581864,1.282
Above Asian Hi + London,601,375,0.6239600665557404,1.244
Bear SFP + London,329,204,0.6200607902735562,1.224
Bear SFP (swept Asian Hi) + Frankfurt,329,204,0.6200607902735562,1.224
Below Asian Lo + London,349,216,0.6189111747851003,1.218
Large bar + London,1062,656,0.6177024482109228,1.212
Near $100 + London,471,290,0.6157112526539278,1.202
Bull engulf + London,704,432,0.6136363636363636,1.191
Wednesday + London,2821,1720,0.6097128677773839,1.172
NY ORB trade + H4↓,6384,3881,0.6079260651629073,1.163
London + H4↓,6373,3795,0.5954809351953554,1.104
Bear pin + London + H4↓,1232,732,0.5941558441558441,1.098
Pre-NY (13:00-14:00 UTC),5619,3311,0.589250756362342,1.076
Frankfurt trade + H4↓,7005,4097,0.5848679514632406,1.057
Bear pin + London,2749,1607,0.5845762095307384,1.055
Bear engulf + H4↓,3197,1866,0.5836721926806381,1.051
Monday,17067,9928,0.5817073885275679,1.043
Bull pin + London,2739,1590,0.5805038335158818,1.038
Bull engulf + London + H4↑,375,216,0.576,1.019
Inside bar breakout + London,2151,1237,0.5750813575081357,1.015
London,13896,7990,0.574985607369027,1.015
Bull pin bar (any session),25790,14711,0.5704148894920512,0.996
Bull pin + London + H4↑,1461,833,0.5701574264202601,0.995
Frankfurt trade window,15274,8694,0.5692025664527957,0.991
NY ORB trade window,14074,7992,0.5678556202927384,0.986
NY ORB + ADR>90% (skip candidate),14066,7985,0.5676809327456278,0.985
Tuesday + London,2745,1557,0.5672131147540984,0.983
September,9468,5369,0.5670680185889312,0.982
Silver Bullet window,5630,3192,0.5669626998223801,0.982
Thursday,25884,14654,0.5661412455571009,0.979
Wednesday,25756,14576,0.5659263860847957,0.978
Near $50 + London,971,549,0.5653964984552008,0.976
Bear pin bar (any session),25144,14184,0.5641107222398982,0.971
Skip NFP (no first Friday),122563,69127,0.5640119775136052,0.97
All bars (baseline),128328,72335,0.5636727760114706,0.969
January,9865,5555,0.5631018753167765,0.967
Near $100 round number,4111,2313,0.562636828022379,0.965
Tuesday,25441,14309,0.5624385833890178,0.964
Near $50 round number,8512,4767,0.5600328947368421,0.955
Inside Asian range + London,10696,5992,0.5602094240837696,0.955
London + H4↑,7523,4195,0.5576232885816829,0.945
NFP day (first Friday),5765,3208,0.5564614050303556,0.941
Frankfurt trade + H4↑,8269,4597,0.5559317934453984,0.939
Bear engulf + London + H4↓,299,166,0.5551839464882943,0.936
Friday,25455,14035,0.5513651541936752,0.922
Bear engulf + London,638,351,0.5501567398119123,0.917
London + H1↑ + H4↑,5996,3294,0.5493662441627751,0.914
Silver Bullet + H4↑,3032,1653,0.5451846965699209,0.899
Bull engulf + H4↑,3922,2122,0.5410504844467109,0.884
PM Fix window (12:00 UTC),2800,1514,0.5407142857142857,0.883
Bull SFP (swept Asian Lo) + Frankfurt,184,99,0.5380434782608695,0.874
Bull SFP + London,184,99,0.5380434782608695,0.874
NY ORB trade + H4↑,7684,4107,0.534487246225924,0.861
Bull SFP + H4↑,646,333,0.5154798761609907,0.798
London + ADR<40% + H4↑,22,10,0.45454545454545453,0.625
Frankfurt + ADR<40% + H4↑,22,10,0.45454545454545453,0.625
Frankfurt + ADR<40%,25,11,0.44,0.589
London + ADR<40%,25,11,0.44,0.589
