datetime,close,atr_15m,d_trend,h4_trend,h4_slope,h1_trend,h4_d_phase,h1_h4_phase,min_of_day,day_of_week,year,long_win,short_win
2020-01-24 13:00:00,1562.075439,0.5699500000000626,0,0,0,0,1,1,780,4,2020,0,1
2020-01-24 13:15:00,1561.59998,0.6022566666667141,0,0,0,0,1,1,795,4,2020,1,1
2020-01-24 13:30:00,1561.38501,0.5901691111111581,0,0,0,0,1,1,810,4,2020,1,0
2020-01-24 13:45:00,1561.75,0.5941465629629892,0,0,0,0,1,1,825,4,2020,0,1
2020-01-24 14:00:00,1561.59229,0.5709323545679202,0,0,0,1,1,0,840,4,2020,1,1
2020-01-24 14:15:00,1561.18616,0.6001453739588796,0,0,0,1,1,0,855,4,2020,1,0
2020-01-24 14:30:00,1562.024902,0.6498939907643599,0,0,0,1,1,0,870,4,2020,0,1
2020-01-24 14:45:00,1561.77771,0.639234791995787,0,0,0,1,1,0,885,4,2020,1,1
2020-01-24 15:00:00,1561.52771,0.6686688197296722,0,0,0,-1,1,0,900,4,2020,0,1
2020-01-24 15:15:00,1561.25793,0.6491263104323706,0,0,0,-1,1,0,915,4,2020,0,1
2020-01-24 15:30:00,1559.56995,0.8088334690414087,0,0,0,-1,1,0,930,4,2020,1,0
2020-01-24 15:45:00,1559.76343,0.7790000731692129,0,0,0,-1,1,0,945,4,2020,1,0
2020-01-24 16:00:00,1560.78003,0.8178413967466293,0,-1,-1,-1,0,1,960,4,2020,1,1
2020-01-24 16:15:00,1560.81958,0.7781317438470851,0,-1,-1,-1,0,1,975,4,2020,1,1
2020-01-24 16:30:00,1560.995,0.7543781780008016,0,-1,-1,-1,0,1,990,4,2020,0,1
2020-01-24 16:45:00,1560.59998,0.753794420934028,0,-1,-1,-1,0,1,1005,4,2020,1,0
2020-01-24 17:00:00,1561.29004,0.7969738314761542,0,-1,-1,-1,0,1,1020,4,2020,0,1
2020-01-24 17:15:00,1561.38,0.8001013206126653,0,-1,-1,-1,0,1,1035,4,2020,0,1
2020-01-24 17:30:00,1561.17407,0.7454230111976519,0,-1,-1,-1,0,1,1050,4,2020,0,1
2020-01-24 17:45:00,1560.83496,0.7319052763713159,0,-1,-1,-1,0,1,1065,4,2020,1,1
2020-01-24 18:00:00,1560.8457,0.7439699061884792,0,-1,-1,-1,0,1,1080,4,2020,0,1
2020-01-24 18:15:00,1560.68835,0.735432052030015,0,-1,-1,-1,0,1,1095,4,2020,0,1
2020-01-24 18:30:00,1559.66504,0.7814331117593402,0,-1,-1,-1,0,1,1110,4,2020,1,1
2020-01-24 18:45:00,1559.63501,0.8054473635247633,0,-1,-1,-1,0,1,1125,4,2020,0,1
2020-01-24 19:00:00,1559.32495,0.8713942483881209,0,-1,-1,-1,0,1,1140,4,2020,1,1
2020-01-24 19:15:00,1559.92078,0.893863948603046,0,-1,-1,-1,0,1,1155,4,2020,0,1
2020-01-24 19:30:00,1558.18005,1.0733474221226444,0,-1,-1,-1,0,1,1170,4,2020,1,0
2020-01-24 19:45:00,1558.53003,1.0662370991729495,0,-1,-1,-1,0,1,1185,4,2020,1,0
2020-01-24 20:00:00,1559.34998,1.0640774859499005,0,-1,-1,1,0,-1,1200,4,2020,1,0
2020-01-24 20:15:00,1559.47998,1.0048671544899297,0,-1,-1,1,0,-1,1215,4,2020,1,0
2020-01-24 20:30:00,1560.23352,1.0695502005579436,0,-1,-1,1,0,-1,1230,4,2020,1,0
2020-01-24 20:45:00,1561.297,1.1096088404835702,0,-1,-1,1,0,-1,1245,4,2020,1,0
2020-01-24 21:00:00,1562.48828,1.1913969950857484,0,-1,-1,-1,0,1,1260,4,2020,0,1
2020-01-24 21:15:00,1561.57544,1.2112067290743145,0,-1,-1,-1,0,1,1275,4,2020,0,1
2020-01-24 21:30:00,1561.48889,1.1443903651977463,0,-1,-1,-1,0,1,1290,4,2020,0,1
2020-01-24 21:45:00,1560.69495,1.112475649838033,0,-1,-1,-1,0,1,1305,4,2020,0,1
2020-01-24 22:00:00,1559.26001,1.2388202298596314,0,-1,-1,-1,0,1,1320,4,2020,1,1
2020-01-24 22:15:00,1559.015869,1.1716095325449971,0,-1,-1,-1,0,1,1335,4,2020,1,0
2020-01-24 22:30:00,1559.066772,1.102065594872333,0,-1,-1,-1,0,1,1350,4,2020,1,0
2020-01-24 22:45:00,1559.26001,1.0524541822226978,0,-1,-1,-1,0,1,1365,4,2020,1,0
2020-01-24 23:00:00,1560.01001,1.122788291259645,0,-1,-1,-1,0,1,1380,4,2020,0,1
2020-01-24 23:15:00,1559.089966,1.1591515857583505,0,-1,-1,-1,0,1,1395,4,2020,0,1
2020-01-24 23:30:00,1558.56006,1.117928707657232,0,-1,-1,-1,0,1,1410,4,2020,0,1
2020-01-24 23:45:00,1558.17004,1.1488675466362657,0,-1,-1,-1,0,1,1425,4,2020,1,1
2020-01-25 00:00:00,1557.38,1.1903478737514148,1,1,1,1,1,1,0,5,2020,1,0
2020-01-25 00:15:00,1558.51416,1.3489693572512227,1,1,1,1,1,1,15,5,2020,1,0
2020-01-25 00:30:00,1560.82996,1.5512187762844145,1,1,1,1,1,1,30,5,2020,1,0
2020-01-25 00:45:00,1561.46765,1.571065606113172,1,1,1,1,1,1,45,5,2020,0,1
2020-01-25 01:00:00,1561.30005,1.648927525298099,1,1,1,1,1,1,60,5,2020,1,1
2020-01-25 01:15:00,1560.19922,1.6410811885916785,1,1,1,1,1,1,75,5,2020,1,0
2020-01-25 01:30:00,1562.19495,1.817045030112793,1,1,1,1,1,1,90,5,2020,1,0
2020-01-25 01:45:00,1564.31006,2.136101692764405,1,1,1,1,1,1,105,5,2020,1,0
2020-01-25 02:00:00,1567.97791,2.4952828003958216,1,1,1,1,1,1,120,5,2020,1,0
2020-01-25 02:15:00,1574.44495,3.2132464270096928,1,1,1,1,1,1,135,5,2020,0,1
2020-01-25 02:30:00,1572.85315,3.31147357007506,1,1,1,1,1,1,150,5,2020,0,1
2020-01-25 02:45:00,1570.34998,3.3499570940650667,1,1,1,1,1,1,165,5,2020,1,0
2020-01-25 03:00:00,1571.20239,3.228637481523075,1,1,1,1,1,1,180,5,2020,1,0
2020-01-25 03:15:00,1572.69751,3.103491150653314,1,1,1,1,1,1,195,5,2020,1,0
2020-01-25 03:30:00,1572.84998,2.993680330566202,1,1,1,1,1,1,210,5,2020,1,1
2020-01-25 03:45:00,1572.57996,2.7745197531573713,1,1,1,1,1,1,225,5,2020,1,0
2020-01-25 04:00:00,1574.094971,2.6525811194030484,1,1,1,1,1,1,240,5,2020,0,1
2020-01-25 04:15:00,1573.755,2.678900970149303,1,1,1,1,1,1,255,5,2020,0,1
2020-01-25 04:30:00,1571.10498,2.7283875074627066,1,1,1,1,1,1,270,5,2020,1,0
2020-01-25 04:45:00,1571.75269,2.584769173134331,1,1,1,1,1,1,285,5,2020,1,0
2020-01-25 05:00:00,1572.81506,2.4468559500497578,1,1,1,1,1,1,300,5,2020,1,0
2020-01-25 05:15:00,1572.51477,2.365107023376446,1,1,1,1,1,1,315,5,2020,1,0
2020-01-25 05:30:00,1573.92065,2.3284220869262526,1,1,1,1,1,1,330,5,2020,1,1
2020-01-25 05:45:00,1572.81775,2.3046364753360575,1,1,1,1,1,1,345,5,2020,1,0
2020-01-25 06:00:00,1573.81494,2.202674278624575,1,1,1,1,1,1,360,5,2020,1,1
2020-01-25 06:15:00,1574.30847,2.196973708141306,1,1,1,1,1,1,375,5,2020,0,1
2020-01-25 06:30:00,1574.052856,2.062718547055816,1,1,1,1,1,1,390,5,2020,0,1
2020-01-25 06:45:00,1571.13,2.2410107407817197,1,1,1,1,1,1,405,5,2020,1,0
2020-01-25 07:00:00,1572.56995,2.3395399753441666,1,1,1,1,1,1,420,5,2020,1,1
2020-01-25 07:15:00,1571.21997,2.3422666452982677,1,1,1,1,1,1,435,5,2020,1,0
2020-01-25 07:30:00,1572.074951,2.2286302925918355,1,1,1,1,1,1,450,5,2020,1,1
2020-01-25 07:45:00,1571.89502,2.1608249202462613,1,1,1,1,1,1,465,5,2020,1,0
2020-01-25 08:00:00,1571.17371,2.052710930880091,1,1,1,1,1,1,480,5,2020,1,0
2020-01-25 08:15:00,1570.91577,1.888357473429414,1,1,1,1,1,1,495,5,2020,1,0
2020-01-25 08:30:00,1570.71484,1.7437698103054904,1,1,1,1,1,1,510,5,2020,1,0
2020-01-25 08:45:00,1571.44995,1.6534058355981127,1,1,1,1,1,1,525,5,2020,1,0
2020-01-27 10:00:00,1584.94995,3.722291724185024,1,1,1,1,1,1,600,0,2020,0,1
2020-01-27 10:15:00,1585.69434,3.6566666942936856,1,1,1,1,1,1,615,0,2020,0,1
2020-01-27 10:30:00,1583.96497,3.793117801721186,1,1,1,1,1,1,630,0,2020,0,1
2020-01-27 10:45:00,1582.014893,3.6833660948250078,1,1,1,1,1,1,645,0,2020,0,1
2020-01-27 11:00:00,1579.93616,3.7469212821816744,1,1,1,1,1,1,660,0,2020,1,0
2020-01-27 11:15:00,1577.84082,3.5959977778907724,1,1,1,1,1,1,675,0,2020,1,0
2020-01-27 11:30:00,1578.69666,3.3804154075053585,1,1,1,1,1,1,690,0,2020,1,0
2020-01-27 11:45:00,1578.034546,3.121686686504638,1,1,1,1,1,1,705,0,2020,1,0
2020-01-27 12:00:00,1580.495,3.0961351283040113,1,1,1,1,1,1,720,0,2020,1,1
2020-01-27 12:15:00,1579.89502,2.9619797778634753,1,1,1,1,1,1,735,0,2020,1,0
2020-01-27 12:30:00,1581.61267,2.8437091408150046,1,1,1,1,1,1,750,0,2020,0,1
2020-01-27 12:45:00,1581.13892,2.613294588706349,1,1,1,1,1,1,765,0,2020,1,1
2020-01-27 13:00:00,1581.39453,2.3981886435455024,1,1,1,1,1,1,780,0,2020,1,1
2020-01-27 13:15:00,1581.91772,2.2504354910727806,1,1,1,1,1,1,795,0,2020,0,1
2020-01-27 13:30:00,1581.93994,2.1470414255964045,1,1,1,1,1,1,810,0,2020,0,1
2020-01-27 13:45:00,1582.151,2.0060985688502164,1,1,1,1,1,1,825,0,2020,0,1
2020-01-27 14:00:00,1580.098999,2.0134232930035294,1,1,1,1,1,1,840,0,2020,0,1
2020-01-27 14:15:00,1580.055298,1.8383095206030717,1,1,1,1,1,1,855,0,2020,0,1
2020-01-27 14:30:00,1579.88,1.7010469178559846,1,1,1,1,1,1,870,0,2020,0,1
2020-01-27 14:45:00,1579.41504,1.5675686621418425,1,1,1,1,1,1,885,0,2020,1,1
2020-01-27 15:00:00,1579.63,1.4638821738562553,1,1,1,1,1,1,900,0,2020,0,1
2020-01-27 15:15:00,1579.31494,1.4873664173420966,1,1,1,1,1,1,915,0,2020,1,0
2020-01-27 15:30:00,1579.69995,1.3483775616964921,1,1,1,1,1,1,930,0,2020,1,1
2020-01-27 15:45:00,1579.1853,1.2522205534703106,1,1,1,1,1,1,945,0,2020,1,0
2020-01-27 16:00:00,1579.69495,1.1985884796742639,1,1,1,1,1,1,960,0,2020,0,1
2020-01-27 16:15:00,1578.98999,1.2141021490510406,1,1,1,1,1,1,975,0,2020,1,0
2020-01-27 16:30:00,1578.97449,1.1870205291775675,1,1,1,1,1,1,990,0,2020,1,0
2020-01-27 16:45:00,1580.70288,1.2860911252872471,1,1,1,1,1,1,1005,0,2020,0,1
