date,signal_ts,exit_ts,orb_hi,orb_lo,orb_range,entry,sl,tp1,sl_dist,tp1_dist,win,bars_held,mfe,h4b,h1b,dow
2020-10-01,2020-10-01 16:45:00,2020-10-01 17:00:00,11550.3,11528.3,22.0,11557.8,11523.3,11572.3,34.5,14.5,1,1,35.0,1,1,Thu
2020-10-06,2020-10-06 16:45:00,2020-10-06 17:30:00,11452.15,11429.9,22.25,11457.9,11424.9,11474.4,33.0,16.5,1,3,71.75,1,1,Tue
2020-10-07,2020-10-07 16:45:00,2020-10-07 17:15:00,11457.75,11430.0,27.75,11470.65,11425.0,11485.5,45.649999999999636,14.850000000000364,1,2,89.20000000000073,1,1,Wed
2020-11-10,2020-11-10 17:00:00,2020-11-10 18:15:00,11717.95,11643.65,74.30000000000109,11735.95,11638.65,11792.250000000002,97.30000000000109,56.30000000000109,0,5,14.25,1,1,Tue
2020-11-11,2020-11-11 17:45:00,2020-11-11 18:00:00,11845.35,11820.85,24.5,11867.1,11815.85,11869.85,51.25,2.75,1,1,60.25,1,1,Wed
2020-11-13,2020-11-13 16:45:00,2020-11-13 17:45:00,11871.05,11838.05,33.0,11883.05,11833.05,11904.05,50.0,21.0,1,4,109.40000000000146,1,1,Fri
2020-11-23,2020-11-23 17:00:00,2020-11-23 17:45:00,11856.95,11816.7,40.25,11860.45,11811.7,11897.2,48.75,36.75,1,3,126.5,1,-1,Mon
2020-11-24,2020-11-24 17:15:00,2020-11-24 17:30:00,12031.95,12010.45,21.5,12036.1,12005.45,12053.45,30.649999999999636,17.350000000000364,1,1,147.60000000000036,1,1,Tue
2021-02-26,2021-02-26 17:00:00,2021-02-26 19:15:00,13031.75,12931.55,100.20000000000073,13078.25,12926.55,13131.95,151.70000000000073,53.70000000000073,0,9,16.75,1,-1,Fri
2021-03-01,2021-03-01 16:45:00,2021-03-01 19:30:00,13225.6,13182.35,43.25,13226.1,13177.35,13268.85,48.75,42.75,1,11,103.14999999999964,1,1,Mon
2021-04-07,2021-04-07 17:30:00,2021-04-07 18:00:00,13606.55,13575.05,31.5,13608.3,13570.05,13638.05,38.25,29.75,1,2,141.75,1,1,Wed
2021-04-15,2021-04-15 17:30:00,2021-04-16 01:00:00,14019.7,13989.45,30.25,14030.7,13984.45,14049.95,46.25,19.25,0,25,14.0,1,1,Thu
2021-06-03,2021-06-03 16:45:00,2021-06-03 18:45:00,13576.75,13545.75,31.0,13582.55,13540.75,13607.75,41.79999999999927,25.200000000000728,0,8,15.400000000001455,1,-1,Thu
2021-06-10,2021-06-10 16:45:00,2021-06-10 19:45:00,13938.95,13915.7,23.25,13944.2,13910.7,13962.2,33.5,18.0,1,12,41.75,1,1,Thu
2021-09-15,2021-09-15 16:45:00,2021-09-15 18:00:00,15449.55,15408.3,41.25,15459.55,15403.3,15490.8,56.25,31.25,1,5,81.25,1,-1,Wed
2021-12-07,2021-12-07 17:45:00,2021-12-07 20:15:00,16326.23,16285.98,40.25,16343.38,16280.98,16366.48,62.399999999999636,23.100000000000364,0,10,13.75,1,1,Tue
2021-12-10,2021-12-10 16:45:00,2021-12-10 20:45:00,16254.08,16190.08,64.0,16267.73,16185.08,16318.08,82.64999999999964,50.350000000000364,1,16,86.10000000000036,1,1,Fri
2021-12-21,2021-12-21 17:00:00,2021-12-21 18:15:00,15809.68,15735.08,74.60000000000036,15827.68,15730.08,15884.28,97.60000000000036,56.600000000000364,1,5,172.89999999999964,1,-1,Tue
2021-12-23,2021-12-23 16:45:00,2021-12-23 19:45:00,16331.73,16309.73,22.0,16334.73,16304.73,16353.73,30.0,19.0,1,12,35.75,1,1,Thu
2022-03-30,2022-03-30 16:45:00,2022-03-30 17:30:00,15193.74,15151.24,42.5,15196.74,15146.24,15236.24,50.5,39.5,0,3,2.5,1,1,Wed
2022-08-17,2022-08-17 17:15:00,2022-08-17 18:00:00,13475.74,13441.81,33.93000000000029,13478.39,13436.81,13509.67,41.57999999999993,31.280000000000655,1,3,118.3700000000008,1,-1,Wed
2022-08-23,2022-08-23 16:45:00,2022-08-24 01:30:00,12917.56,12869.06,48.5,12919.94,12864.06,12966.06,55.88000000000102,46.11999999999898,0,31,26.86999999999898,1,-1,Tue
2022-08-26,2022-08-26 16:45:00,2022-08-26 17:30:00,12784.06,12748.81,35.25,12790.94,12743.81,12819.31,47.13000000000102,28.36999999999898,0,3,15.5,1,-1,Fri
2022-12-01,2022-12-01 18:00:00,2022-12-01 20:00:00,12041.89,12006.14,35.75,12052.94,12001.14,12077.64,51.80000000000109,24.69999999999891,1,8,33.86999999999898,1,1,Thu
2022-12-02,2022-12-02 17:00:00,2022-12-02 18:00:00,11950.89,11903.64,47.25,11963.14,11898.64,11998.14,64.5,35.0,0,4,0.0,1,-1,Fri
2023-02-22,2023-02-22 17:30:00,2023-02-22 18:00:00,12089.19,12055.19,34.0,12112.24,12050.19,12123.19,62.04999999999927,10.950000000000728,1,2,49.649999999999636,1,1,Wed
2023-02-24,2023-02-24 16:45:00,2023-02-24 17:45:00,11956.99,11924.74,32.25,11967.61,11919.74,11989.24,47.8700000000008,21.6299999999992,0,4,7.430000000000291,1,-1,Fri
2023-03-07,2023-03-07 17:15:00,2023-03-07 18:30:00,12245.19,12199.94,45.25,12267.69,12194.94,12290.44,72.75,22.75,0,5,16.75,1,-1,Tue
2023-03-08,2023-03-08 16:45:00,2023-03-08 18:15:00,12209.31,12154.31,55.0,12235.94,12149.31,12264.31,86.63000000000102,28.36999999999898,0,6,7.25,1,-1,Wed
2023-04-20,2023-04-20 16:45:00,2023-04-20 18:15:00,13081.19,13051.19,30.0,13083.94,13046.19,13111.19,37.75,27.25,0,6,25.25,1,1,Thu
